name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Maximilian Wittek,/maximilian-wittek/profil/spieler/196793,€2.00m,VfL Bochum,GER,"Aug 21, 1995 (28)",Freising,Germany,"1,73 m",Left-Back,Sports360 GmbH,,15 / 0,left,28,,Germany U20
Danilo Soares,/danilo-soares/profil/spieler/154396,€1.80m,VfL Bochum,GER,"Oct 29, 1991 (31)",Belo Horizonte,Brazil,"1,70 m",Left-Back,,,,left,31,,
Moritz Römling,/moritz-romling/profil/spieler/452222,€150k,VfL Bochum,GER,"Apr 30, 2001 (22)",Witten,Germany,"1,86 m",Left-Back,,,Apr-00,left,22,,Germany U18
Felix Passlack,/felix-passlack/profil/spieler/274461,€1.50m,VfL Bochum,GER,"May 29, 1998 (25)",Bottrop,Germany,"1,70 m",Right-Back,,,Apr-00,right,25,,Germany U21
Jordi Osei-Tutu,/jordi-osei-tutu/profil/spieler/397099,€1.20m,VfL Bochum,GER,"Oct 2, 1998 (24)",Slough,England,"1,76 m",Right-Back,Unique Sports Group,,,right,24,,
Cristian Gamboa,/cristian-gamboa/profil/spieler/121686,€600k,VfL Bochum,GER,"Oct 24, 1989 (33)",Liberia,Costa Rica,"1,75 m",Right-Back,,,78 / 3,right,33,,Costa Rica
Anthony Losilla,/anthony-losilla/profil/spieler/111266,€500k,VfL Bochum,GER,"Mar 10, 1986 (37)",Firminy,France,"1,85 m",Defensive Midfield,,,,right,37,,
Patrick Osterhage,/patrick-osterhage/profil/spieler/443331,€4.00m,VfL Bochum,GER,"Feb 1, 2000 (23)",Göttingen,Germany,"1,86 m",Central Midfield,,Germany U21,Apr-00,left,23,,
Matus Bero,/matus-bero/profil/spieler/204047,€2.30m,VfL Bochum,GER,"Sep 6, 1995 (28)",Ilava,Slovakia,"1,81 m",Central Midfield,,,26 / 1,right,28,Slovakia,
Mats Pannewig,/mats-pannewig/profil/spieler/796221,,VfL Bochum,GER,"Oct 28, 2004 (18)",Hamm,Germany,"1,95 m",Central Midfield,,,,,18,,
Kevin Stöger,/kevin-stoger/profil/spieler/106872,€3.00m,VfL Bochum,GER,"Aug 27, 1993 (30)",Steyr,Austria,"1,75 m",Attacking Midfield,,,0 / 0,left,30,,Austria
Philipp Förster,/philipp-forster/profil/spieler/179635,€2.80m,VfL Bochum,GER,"Feb 4, 1995 (28)",Bretten,Germany,"1,88 m",Attacking Midfield,ROOF,,,left,28,,
Lukas Daschner,/lukas-daschner/profil/spieler/334213,€1.50m,VfL Bochum,GER,"Oct 1, 1998 (24)",Duisburg,Germany,"1,85 m",Attacking Midfield,ROOF,,,na,24,,
Moritz-Broni Kwarteng,/moritz-broni-kwarteng/profil/spieler/316575,€1.50m,VfL Bochum,GER,"Apr 28, 1998 (25)",Stuttgart,Germany,"1,75 m",Attacking Midfield,,,,na,25,,
Christopher Antwi-Adjei,/christopher-antwi-adjei/profil/spieler/289182,€2.20m,VfL Bochum,GER,"Feb 7, 1994 (29)",Hagen,Ghana,"1,74 m",Left Winger,,,Mar-00,right,29,,Ghana
Takuma Asano,/takuma-asano/profil/spieler/245744,€4.00m,VfL Bochum,GER,"Nov 10, 1994 (28)","Komono, Mie",Japan,"1,73 m",Right Winger,JEB ENTERTAINMENT ...,,45 / 9,right,28,Japan,
Philipp Hofmann,/philipp-hofmann/profil/spieler/119037,€2.80m,VfL Bochum,GER,"Mar 30, 1993 (30)",Arnsberg,Germany,"1,95 m",Centre-Forward,ROOF,,17 / 9,left,30,,Germany U21
Gonçalo Paciência,/goncalo-paciencia/profil/spieler/181547,€2.00m,VfL Bochum,GER,"Aug 1, 1994 (29)",Porto,Portugal,"1,84 m",Centre-Forward,Proeleven S.A.,,1-Feb,right,29,,Portugal
Moritz Broschinski,/moritz-broschinski/profil/spieler/406973,€1.00m,VfL Bochum,GER,"Sep 23, 2000 (22)",Finsterwalde,Germany,"1,90 m",Centre-Forward,,,Jan-00,right,22,,Germany U19
Lys Mousset,/lys-mousset/profil/spieler/291422,€1.00m,VfL Bochum,GER,"Feb 8, 1996 (27)",Montivilliers,France,"1,86 m",Centre-Forward,,,5-Aug,right,27,,France U21
Marcel Schuhen,/marcel-schuhen/profil/spieler/93651,€1.00m,SV Darmstadt 98,GER,"Jan 13, 1993 (30)",Kirchen (Sieg),Germany,"1,88 m",Goalkeeper,,,,na,30,,
Morten Behrens,/morten-behrens/profil/spieler/274039,€250k,SV Darmstadt 98,GER,"Apr 1, 1997 (26)",Bad Segeberg,Germany,"1,93 m",Goalkeeper,,,,right,26,,
Alexander Brunst,/alexander-brunst/profil/spieler/146693,€200k,SV Darmstadt 98,GER,"Jul 7, 1995 (28)",Hamburg,Germany,"1,95 m",Goalkeeper,,,0 / 0,right,28,,Germany U20
Christoph Klarer,/christoph-klarer/profil/spieler/346849,€2.20m,SV Darmstadt 98,GER,"Jun 14, 2000 (23)",Böheimkirchen,Austria,"1,91 m",Centre-Back,HAGMAYR ...,,Dec-00,right,23,,Austria U21
Christoph Zimmermann,/christoph-zimmermann/profil/spieler/77812,€1.30m,SV Darmstadt 98,GER,"Jan 12, 1993 (30)",Düsseldorf,Germany,"1,94 m",Centre-Back,,,,right,30,,
Matej Maglica,/matej-maglica/profil/spieler/433388,€1.00m,SV Darmstadt 98,GER,"Sep 25, 1998 (24)",Slavonski Brod,Croatia,"1,98 m",Centre-Back,,,,left,24,,
Jannik Müller,/jannik-muller/profil/spieler/119286,€1.00m,SV Darmstadt 98,GER,"Jan 18, 1994 (29)",Adenau,Germany,"1,87 m",Centre-Back,,,Feb-00,right,29,,Germany U19
Clemens Riedel,/clemens-riedel/profil/spieler/692070,€1.00m,SV Darmstadt 98,GER,"Jul 19, 2003 (20)",Wölfersheim,Germany,"1,86 m",Centre-Back,Sports360 GmbH,,Jan-00,right,20,Germany U21,
Thomas Isherwood,/thomas-isherwood/profil/spieler/322075,€900k,SV Darmstadt 98,GER,"Jan 28, 1998 (25)",Söderort,Sweden,"1,95 m",Centre-Back,,,Jul-00,left,25,,Sweden U21
Emir Karic,/emir-karic/profil/spieler/286596,€700k,SV Darmstadt 98,GER,"Jun 9, 1997 (26)",Linz,Austria,"1,84 m",Left-Back,,,Mar-00,left,26,,Austria U21
Fabian Holland,/fabian-holland/profil/spieler/54846,€600k,SV Darmstadt 98,GER,"Jul 11, 1990 (33)",Berlin,Germany,"1,72 m",Left-Back,,,Jan-00,left,33,,Germany U20
Matthias Bader,/matthias-bader/profil/spieler/237162,€2.00m,SV Darmstadt 98,GER,"Jun 17, 1997 (26)",Pforzheim,Germany,"1,76 m",Right-Back,Sports360 GmbH,,May-00,right,26,,Germany U20
Frank Ronstadt,/frank-ronstadt/profil/spieler/270027,€550k,SV Darmstadt 98,GER,"Jul 21, 1997 (26)",Hamburg,Germany,"1,79 m",Right-Back,,,Jan-00,right,26,,Germany U19
Bartol Franjic,/bartol-franjic/profil/spieler/370998,€3.00m,SV Darmstadt 98,GER,"Jan 14, 2000 (23)",Zagreb,Croatia,"1,88 m",Defensive Midfield,VPA Sports,Croatia U21,15 / 1,left,23,,
