name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Manuel Neuer,/manuel-neuer/profil/spieler/17259,€7.00m,Bayern Munich,GER,"Mar 27, 1986 (37)",Gelsenkirchen,Germany,"1,93 m",Goalkeeper,PRO Profil GmbH,Germany,117 / 0,right,37,,
Daniel Peretz,/daniel-peretz/profil/spieler/468539,€4.00m,Bayern Munich,GER,"Jul 10, 2000 (23)",Tel Aviv,Israel,"1,90 m",Goalkeeper,,,Jan-00,right,23,Israel,
Sven Ulreich,/sven-ulreich/profil/spieler/40680,€700k,Bayern Munich,GER,"Aug 3, 1988 (35)",Schorndorf,Germany,"1,92 m",Goalkeeper,,,0 / 0,right,35,,Germany
Tom Hülsmann,/tom-hulsmann/profil/spieler/639582,€75k,Bayern Munich,GER,"Apr 11, 2004 (19)",Trier,Germany,"2,05 m",Goalkeeper,,,,right,19,,
Matthijs de Ligt,/matthijs-de-ligt/profil/spieler/326031,€75.00m,Bayern Munich,GER,"Aug 12, 1999 (24)",Leiderdorp,Netherlands,"1,89 m",Centre-Back,Rafaela Pimenta,,42 / 2,right,24,Netherlands,
Dayot Upamecano,/dayot-upamecano/profil/spieler/344695,€60.00m,Bayern Munich,GER,"Oct 27, 1998 (24)",Évreux,France,"1,86 m",Centre-Back,,,16 / 2,right,24,France,
Min-jae Kim,/min-jae-kim/profil/spieler/503482,€60.00m,Bayern Munich,GER,"Nov 15, 1996 (26)","Tongyeong, Gyeongnam","Korea, South","1,90 m",Centre-Back,,,49 / 3,right,26,South Korea,
Tarek Buchmann,/tarek-buchmann/profil/spieler/744729,,Bayern Munich,GER,"Feb 28, 2005 (18)",Augsburg,Germany,"1,88 m",Centre-Back,11WINS,Germany U18,Jan-00,,18,,
Alphonso Davies,/alphonso-davies/profil/spieler/424204,€70.00m,Bayern Munich,GER,"Nov 2, 2000 (22)",Buduburam,Canada,"1,85 m",Left-Back,ATG Sports,Canada,41 / 14,left,22,,
Raphaël Guerreiro,/raphael-guerreiro/profil/spieler/170986,€20.00m,Bayern Munich,GER,"Dec 22, 1993 (29)",Le Blanc-Mesnil,Portugal,"1,70 m",Left-Back,,,64 / 4,left,29,Portugal,
Frans Krätzig,/frans-kratzig/profil/spieler/604320,€150k,Bayern Munich,GER,"Jan 14, 2003 (20)",,Germany,"1,71 m",Left-Back,ROOF Talents,,Jan-00,left,20,Germany U20,
Noussair Mazraoui,/noussair-mazraoui/profil/spieler/340456,€28.00m,Bayern Munich,GER,"Nov 14, 1997 (25)",Leiderdorp,Morocco,"1,83 m",Right-Back,Rafaela Pimenta,,24 / 2,right,25,Morocco,
Bouna Sarr,/bouna-sarr/profil/spieler/190685,€2.00m,Bayern Munich,GER,"Jan 31, 1992 (31)",Lyon,Senegal,"1,78 m",Right-Back,,,13 / 0,right,31,,Senegal
Joshua Kimmich,/joshua-kimmich/profil/spieler/161056,€75.00m,Bayern Munich,GER,"Feb 8, 1995 (28)",Rottweil,Germany,"1,77 m",Defensive Midfield,,,80 / 6,right,28,Germany,
Aleksandar Pavlovic,/aleksandar-pavlovic/profil/spieler/792380,€200k,Bayern Munich,GER,"May 3, 2004 (19)",München,Germany,"1,88 m",Defensive Midfield,,,,na,19,,
Leon Goretzka,/leon-goretzka/profil/spieler/153084,€45.00m,Bayern Munich,GER,"Feb 6, 1995 (28)",Bochum,Germany,"1,89 m",Central Midfield,,Germany,53 / 14,right,28,,
Konrad Laimer,/konrad-laimer/profil/spieler/223967,€28.00m,Bayern Munich,GER,"May 27, 1997 (26)",Salzburg,Austria,"1,80 m",Central Midfield,ROOF,,26 / 2,right,26,Austria,
Jamal Musiala,/jamal-musiala/profil/spieler/580195,€110.00m,Bayern Munich,GER,"Feb 26, 2003 (20)",Stuttgart,Germany,"1,84 m",Attacking Midfield,11WINS,Germany,23 / 1,right,20,,
Kingsley Coman,/kingsley-coman/profil/spieler/243714,€65.00m,Bayern Munich,GER,"Jun 13, 1996 (27)",Paris,France,"1,81 m",Left Winger,,,50 / 5,right,27,France,
Leroy Sané,/leroy-sane/profil/spieler/192565,€65.00m,Bayern Munich,GER,"Jan 11, 1996 (27)",Essen,Germany,"1,83 m",Right Winger,,,54 / 12,left,27,Germany,
Serge Gnabry,/serge-gnabry/profil/spieler/159471,€55.00m,Bayern Munich,GER,"Jul 14, 1995 (28)",Stuttgart,Germany,"1,76 m",Right Winger,ROOF,,42 / 22,right,28,Germany,
Thomas Müller,/thomas-muller/profil/spieler/58358,€12.00m,Bayern Munich,GER,"Sep 13, 1989 (33)",Weilheim in ...,Germany,"1,85 m",Second Striker,,,122 / 44,right,33,Germany,
Harry Kane,/harry-kane/profil/spieler/132098,€90.00m,Bayern Munich,GER,"Jul 28, 1993 (30)",London,England,"1,88 m",Centre-Forward,,,85 / 58,right,30,England,
Mathys Tel,/mathys-tel/profil/spieler/801734,€20.00m,Bayern Munich,GER,"Apr 27, 2005 (18)",Sarcelles,France,"1,83 m",Centre-Forward,,,0 / 0,right,18,France U19,
Eric-Maxim Choupo-Moting,/eric-maxim-choupo-moting/profil/spieler/45660,€5.00m,Bayern Munich,GER,"Mar 23, 1989 (34)",Hamburg,Cameroon,"1,91 m",Centre-Forward,ROGON,,73 / 21,right,34,Cameroon,
Gregor Kobel,/gregor-kobel/profil/spieler/257814,€35.00m,Borussia Dortmund,GER,"Dec 6, 1997 (25)",Zürich,Switzerland,"1,94 m",Goalkeeper,,Switzerland,May-00,right,25,,
Marcel Lotka,/marcel-lotka/profil/spieler/453737,€1.50m,Borussia Dortmund,GER,"May 25, 2001 (22)",Duisburg,Germany,"1,90 m",Goalkeeper,SEG,,Feb-00,right,22,,Poland U21
Alexander Meyer,/alexander-meyer/profil/spieler/76158,€1.00m,Borussia Dortmund,GER,"Apr 13, 1991 (32)",Bad Oldesloe,Germany,"1,95 m",Goalkeeper,,,,right,32,,
Nico Schlotterbeck,/nico-schlotterbeck/profil/spieler/388198,€40.00m,Borussia Dortmund,GER,"Dec 1, 1999 (23)",Waiblingen,Germany,"1,91 m",Centre-Back,,,Nov-00,left,23,Germany,
Niklas Süle,/niklas-sule/profil/spieler/166601,€35.00m,Borussia Dortmund,GER,"Sep 3, 1995 (28)",Frankfurt am Main,Germany,"1,95 m",Centre-Back,Sports360 GmbH,,46 / 1,right,28,Germany,
Mats Hummels,/mats-hummels/profil/spieler/39728,€6.00m,Borussia Dortmund,GER,"Dec 16, 1988 (34)",Bergisch Gladbach,Germany,"1,91 m",Centre-Back,,,76 / 5,right,34,,Germany
Antonios Papadopoulos,/antonios-papadopoulos/profil/spieler/482573,€600k,Borussia Dortmund,GER,"Sep 10, 1999 (24)",Stuttgart,Germany,"1,86 m",Centre-Back,,,,right,24,,
Ramy Bensebaini,/ramy-bensebaini/profil/spieler/284732,€20.00m,Borussia Dortmund,GER,"Apr 16, 1995 (28)",Constantine,Algeria,"1,87 m",Left-Back,,,54 / 6,left,28,Algeria,
Julian Ryerson,/julian-ryerson/profil/spieler/370789,€13.00m,Borussia Dortmund,GER,"Nov 17, 1997 (25)",Lyngdal,Norway,"1,83 m",Right-Back,,,19 / 0,right,25,Norway,
Marius Wolf,/marius-wolf/profil/spieler/193900,€10.00m,Borussia Dortmund,GER,"May 27, 1995 (28)",Coburg,Germany,"1,87 m",Right-Back,ROGON,Germany,May-00,right,28,,
Thomas Meunier,/thomas-meunier/profil/spieler/100986,€5.00m,Borussia Dortmund,GER,"Sep 12, 1991 (31)",Sainte-Ode,Belgium,"1,91 m",Right-Back,,Belgium,62 / 8,right,31,,
Mateu Morey,/mateu-morey/profil/spieler/388513,€1.00m,Borussia Dortmund,GER,"Mar 2, 2000 (23)",Palma de Mallorca,Spain,"1,73 m",Right-Back,,,0 / 0,right,23,,Spain U21
Emre Can,/emre-can/profil/spieler/119296,€14.00m,Borussia Dortmund,GER,"Jan 12, 1994 (29)",Frankfurt am Main,Germany,"1,86 m",Defensive Midfield,ISM Int. Soccer ...,,42 / 1,right,29,Germany,
Salih Özcan,/salih-ozcan/profil/spieler/244940,€13.00m,Borussia Dortmund,GER,"Jan 11, 1998 (25)",Köln,Turkey,"1,83 m",Defensive Midfield,Dirk Hebel,,Nov-00,right,25,Turkey,
Abdoulaye Kamara,/abdoulaye-kamara/profil/spieler/718232,€1.00m,Borussia Dortmund,GER,"Nov 6, 2004 (18)",Conakry,France,"1,85 m",Defensive Midfield,,,,right,18,,
Marcel Sabitzer,/marcel-sabitzer/profil/spieler/106987,€20.00m,Borussia Dortmund,GER,"Mar 17, 1994 (29)",Wels,Austria,"1,77 m",Central Midfield,ROGON,,71 / 14,right,29,Austria,
Felix Nmecha,/felix-nmecha/profil/spieler/406640,€15.00m,Borussia Dortmund,GER,"Oct 10, 2000 (22)",Hamburg,Germany,"1,90 m",Central Midfield,,,Jan-00,right,22,Germany,
Ole Pohlmann,/ole-pohlmann/profil/spieler/405690,€400k,Borussia Dortmund,GER,"Apr 5, 2001 (22)",Minden,Germany,"1,83 m",Central Midfield,ROOF,,Apr-00,right,22,,Germany U18
Julian Brandt,/julian-brandt/profil/spieler/187492,€40.00m,Borussia Dortmund,GER,"May 2, 1996 (27)",Bremen,Germany,"1,85 m",Attacking Midfield,,,43 / 3,right,27,Germany,
Giovanni Reyna,/giovanni-reyna/profil/spieler/504215,€25.00m,Borussia Dortmund,GER,"Nov 13, 2002 (20)",Durham,United States,"1,85 m",Attacking Midfield,,USA,20 / 4,right,20,,
Marco Reus,/marco-reus/profil/spieler/35207,€7.00m,Borussia Dortmund,GER,"May 31, 1989 (34)",Dortmund,Germany,"1,80 m",Attacking Midfield,Dirk Hebel,,48 / 15,right,34,,Germany
Karim Adeyemi,/karim-adeyemi/profil/spieler/496094,€40.00m,Borussia Dortmund,GER,"Jan 18, 2002 (21)",München,Germany,"1,80 m",Left Winger,,Germany,1-Apr,left,21,,
Jamie Bynoe-Gittens,/jamie-bynoe-gittens/profil/spieler/670882,€14.00m,Borussia Dortmund,GER,"Aug 8, 2004 (19)",London,England,"1,77 m",Left Winger,,,0 / 0,right,19,England U21,
Donyell Malen,/donyell-malen/profil/spieler/326029,€28.00m,Borussia Dortmund,GER,"Jan 19, 1999 (24)",Wieringen,Netherlands,"1,78 m",Right Winger,Rafaela Pimenta,,22 / 5,right,24,Netherlands,
Julien Duranville,/julien-duranville/profil/spieler/819215,€8.50m,Borussia Dortmund,GER,"May 5, 2006 (17)",Uccle,Belgium,"1,70 m",Right Winger,,Belgium U19,Feb-00,right,17,,
Sébastien Haller,/sebastien-haller/profil/spieler/181375,€30.00m,Borussia Dortmund,GER,"Jun 22, 1994 (29)",Ris-Orangis,Cote d'Ivoire,"1,91 m",Centre-Forward,,,17 / 5,right,29,Ivory Coast,
Youssoufa Moukoko,/youssoufa-moukoko/profil/spieler/467720,€30.00m,Borussia Dortmund,GER,"Nov 20, 2004 (18)",Yaoundé,Germany,"1,79 m",Centre-Forward,,,6-Jul,left,18,Germany U21,
Niclas Füllkrug,/niclas-fullkrug/profil/spieler/75489,€13.00m,Borussia Dortmund,GER,"Feb 9, 1993 (30)",Hannover,Germany,"1,89 m",Centre-Forward,ROOF,Germany,7-Sep,right,30,,
Lukas Hradecky,/lukas-hradecky/profil/spieler/48015,€2.50m,Bayer 04 Leverkusen,GER,"Nov 24, 1989 (33)",Bratislava,Finland,"1,92 m",Goalkeeper,,,85 / 0,right,33,Finland,
Matej Kovar,/matej-kovar/profil/spieler/550829,€1.80m,Bayer 04 Leverkusen,GER,"May 17, 2000 (23)",Uherské Hradiště,Czech Republic,"1,96 m",Goalkeeper,,Czechia U21,Nov-00,right,23,,
Niklas Lomb,/niklas-lomb/profil/spieler/85543,€250k,Bayer 04 Leverkusen,GER,"Jul 28, 1993 (30)",Köln,Germany,"1,86 m",Goalkeeper,Dirk Hebel,,,right,30,,
Piero Hincapié,/piero-hincapie/profil/spieler/659813,€35.00m,Bayer 04 Leverkusen,GER,"Jan 9, 2002 (21)",Esmeraldas,Ecuador,"1,84 m",Centre-Back,,Ecuador,27 / 1,left,21,,
Edmond Tapsoba,/edmond-tapsoba/profil/spieler/564545,€30.00m,Bayer 04 Leverkusen,GER,"Feb 2, 1999 (24)",Ouagadougou,Burkina Faso,"1,92 m",Centre-Back,,,36 / 1,right,24,Burkina Faso,
Jonathan Tah,/jonathan-tah/profil/spieler/196357,€20.00m,Bayer 04 Leverkusen,GER,"Feb 11, 1996 (27)",Hamburg,Germany,"1,95 m",Centre-Back,,,16 / 0,right,27,Germany,
Odilon Kossounou,/odilon-kossounou/profil/spieler/644771,€18.00m,Bayer 04 Leverkusen,GER,"Jan 4, 2001 (22)",Abidjan,Cote d'Ivoire,"1,91 m",Centre-Back,Unique Sports Group,,17 / 0,right,22,Ivory Coast,
Madi Monamay,/madi-monamay/profil/spieler/937113,,Bayer 04 Leverkusen,GER,"Apr 6, 2006 (17)",,Belgium,,Centre-Back,,,0 / 0,right,17,Belgium U18,
Alejandro Grimaldo,/alejandro-grimaldo/profil/spieler/193082,€25.00m,Bayer 04 Leverkusen,GER,"Sep 20, 1995 (27)",Valencia,Spain,"1,71 m",Left-Back,,,Feb-00,left,27,,Spain U21
Jeremie Frimpong,/jeremie-frimpong/profil/spieler/484547,€40.00m,Bayer 04 Leverkusen,GER,"Dec 10, 2000 (22)",Amsterdam,Netherlands,"1,71 m",Right-Back,Dirk Hebel,Netherlands,0 / 0,right,22,,
Josip Stanisic,/josip-stanisic/profil/spieler/483046,€12.00m,Bayer 04 Leverkusen,GER,"Apr 2, 2000 (23)",München,Croatia,"1,87 m",Right-Back,,,Nov-00,na,23,Croatia,
Arthur,/arthur/profil/spieler/977464,€5.00m,Bayer 04 Leverkusen,GER,"Mar 17, 2003 (20)",Belo Horizonte,Brazil,"1,74 m",Right-Back,,,Jan-00,right,20,Brazil U23,
Timothy Fosu-Mensah,/timothy-fosu-mensah/profil/spieler/315131,€2.00m,Bayer 04 Leverkusen,GER,"Jan 2, 1998 (25)",Amsterdam,Netherlands,"1,85 m",Right-Back,,,Mar-00,right,25,,Netherlands
Granit Xhaka,/granit-xhaka/profil/spieler/111455,€20.00m,Bayer 04 Leverkusen,GER,"Sep 27, 1992 (30)",Basel,Switzerland,"1,86 m",Defensive Midfield,,,115 / 13,left,30,Switzerland,
Noah Mbamba,/noah-mbamba/profil/spieler/743395,€3.00m,Bayer 04 Leverkusen,GER,"Jan 5, 2005 (18)",Elsene,Belgium,"1,87 m",Defensive Midfield,,,Nov-00,right,18,Belgium U19,
Exequiel Palacios,/exequiel-palacios/profil/spieler/401578,€22.00m,Bayer 04 Leverkusen,GER,"Oct 5, 1998 (24)",Famaillá,Argentina,"1,77 m",Central Midfield,,,26 / 0,right,24,Argentina,
Robert Andrich,/robert-andrich/profil/spieler/159088,€11.00m,Bayer 04 Leverkusen,GER,"Sep 22, 1994 (28)",Potsdam,Germany,"1,87 m",Central Midfield,,,Feb-00,right,28,,Germany U20
Nadiem Amiri,/nadiem-amiri/profil/spieler/232454,€6.00m,Bayer 04 Leverkusen,GER,"Oct 27, 1996 (26)",Ludwigshafen am ...,Germany,"1,80 m",Central Midfield,,,May-00,right,26,,Germany
Gustavo Puerta,/gustavo-puerta/profil/spieler/936981,€1.50m,Bayer 04 Leverkusen,GER,"Jul 23, 2003 (20)",La Víctoria,Colombia,"1,73 m",Central Midfield,,,29 / 5,right,20,Colombia U20,
Florian Wirtz,/florian-wirtz/profil/spieler/598577,€85.00m,Bayer 04 Leverkusen,GER,"May 3, 2003 (20)",Pulheim,Germany,"1,77 m",Attacking Midfield,,,Sep-00,right,20,Germany,
Ayman Aourir,/ayman-aourir/profil/spieler/696027,,Bayer 04 Leverkusen,GER,"Oct 6, 2004 (18)",Köln,Germany,"1,72 m",Attacking Midfield,,,Feb-00,na,18,,Morocco U17
Amine Adli,/amine-adli/profil/spieler/532776,€20.00m,Bayer 04 Leverkusen,GER,"May 10, 2000 (23)",Béziers,Morocco,"1,80 m",Right Winger,,,0 / 0,left,23,Morocco,
Nathan Tella,/nathan-tella/profil/spieler/340322,€18.00m,Bayer 04 Leverkusen,GER,"Jul 5, 1999 (24)",Stevenage,England,"1,73 m",Right Winger,CAA Stellar,,,right,24,,
Jonas Hofmann,/jonas-hofmann/profil/spieler/7161,€13.00m,Bayer 04 Leverkusen,GER,"Jul 14, 1992 (31)",Heidelberg,Germany,"1,76 m",Right Winger,,,21 / 4,right,31,Germany,
Patrik Schick,/patrik-schick/profil/spieler/242086,€25.00m,Bayer 04 Leverkusen,GER,"Jan 24, 1996 (27)",Praha,Czech Republic,"1,91 m",Centre-Forward,,Czechia,35 / 18,left,27,,
Adam Hlozek,/adam-hlozek/profil/spieler/552057,€18.00m,Bayer 04 Leverkusen,GER,"Jul 25, 2002 (21)",Ivančice,Czech Republic,"1,88 m",Centre-Forward,,,25 / 2,right,21,Czechia,
Victor Boniface,/victor-boniface/profil/spieler/656681,€12.00m,Bayer 04 Leverkusen,GER,"Dec 23, 2000 (22)",Akure,Nigeria,"1,90 m",Centre-Forward,,,0 / 0,right,22,Nigeria,
Péter Gulácsi,/peter-gulacsi/profil/spieler/57071,€5.00m,RB Leipzig,GER,"May 6, 1990 (33)",Budapest,Hungary,"1,90 m",Goalkeeper,,,51 / 0,right,33,Hungary,
Janis Blaswich,/janis-blaswich/profil/spieler/81173,€2.50m,RB Leipzig,GER,"May 2, 1991 (32)",Willich,Germany,"1,93 m",Goalkeeper,PRO Profil GmbH,,,right,32,,
Leopold Zingerle,/leopold-zingerle/profil/spieler/160971,€400k,RB Leipzig,GER,"Apr 10, 1994 (29)",München,Germany,"1,85 m",Goalkeeper,,,Jan-00,right,29,,Germany U20
Timo Schlieck,/timo-schlieck/profil/spieler/897425,€200k,RB Leipzig,GER,"Mar 2, 2006 (17)",Oelde,Germany,"1,95 m",Goalkeeper,,Germany U17,Apr-00,right,17,,
Mohamed Simakan,/mohamed-simakan/profil/spieler/666234,€25.00m,RB Leipzig,GER,"May 3, 2000 (23)",Marseille,France,"1,87 m",Centre-Back,,France U21,Jul-00,right,23,,
Castello Lukeba,/castello-lukeba/profil/spieler/618472,€25.00m,RB Leipzig,GER,"Dec 17, 2002 (20)",Lyon,France,"1,84 m",Centre-Back,,,Oct-00,left,20,France U21,
Willi Orbán,/willi-orban/profil/spieler/93740,€10.00m,RB Leipzig,GER,"Nov 3, 1992 (30)",Kaiserslautern,Hungary,"1,86 m",Centre-Back,ROGON,,42 / 6,right,30,Hungary,
El Chadaille Bitshiabu,/el-chadaille-bitshiabu/profil/spieler/787912,€7.00m,RB Leipzig,GER,"May 16, 2005 (18)",Villeneuve-Saint-Geo...,France,"1,96 m",Centre-Back,Gestifute,France U19,Mar-00,left,18,,
David Raum,/david-raum/profil/spieler/318204,€14.00m,RB Leipzig,GER,"Apr 22, 1998 (25)",Nürnberg,Germany,"1,80 m",Left-Back,ROOF,Germany,18 / 0,left,25,,
Christopher Lenz,/christopher-lenz/profil/spieler/159844,€2.50m,RB Leipzig,GER,"Sep 22, 1994 (28)",Berlin,Germany,"1,80 m",Left-Back,ROOF,,Oct-00,left,28,,Germany U19
Benjamin Henrichs,/benjamin-henrichs/profil/spieler/202591,€15.00m,RB Leipzig,GER,"Feb 23, 1997 (26)",Bocholt,Germany,"1,85 m",Right-Back,CN Sports,,Oct-00,right,26,Germany,
Lukas Klostermann,/lukas-klostermann/profil/spieler/215599,€12.00m,RB Leipzig,GER,"Jun 3, 1996 (27)",Gevelsberg,Germany,"1,89 m",Right-Back,,Germany,22 / 0,right,27,,
Xaver Schlager,/xaver-schlager/profil/spieler/223979,€22.00m,RB Leipzig,GER,"Sep 28, 1997 (25)",Linz,Austria,"1,74 m",Central Midfield,ROOF,,35 / 3,left,25,Austria,
Nicolas Seiwald,/nicolas-seiwald/profil/spieler/404950,€20.00m,RB Leipzig,GER,"May 4, 2001 (22)",Kuchl,Austria,"1,79 m",Central Midfield,Sports360 GmbH,,14 / 0,right,22,Austria,
Amadou Haidara,/amadou-haidara/profil/spieler/402008,€17.00m,RB Leipzig,GER,"Jan 31, 1998 (25)",Bamako,Mali,"1,75 m",Central Midfield,ROOF,,35 / 2,right,25,Mali,
Ilaix Moriba,/ilaix-moriba/profil/spieler/617074,€4.00m,RB Leipzig,GER,"Jan 19, 2003 (20)",Conakry,Guinea,"1,85 m",Central Midfield,CAA Stellar,,14 / 1,right,20,Guinea,
Kevin Kampl,/kevin-kampl/profil/spieler/53418,€3.50m,RB Leipzig,GER,"Oct 9, 1990 (32)",Solingen,Slovenia,"1,78 m",Central Midfield,,,28 / 2,right,32,,Slovenia
Dani Olmo,/dani-olmo/profil/spieler/293385,€40.00m,RB Leipzig,GER,"May 7, 1998 (25)",Terrassa,Spain,"1,79 m",Attacking Midfield,,,32 / 7,right,25,Spain,
Christoph Baumgartner,/christoph-baumgartner/profil/spieler/324278,€24.00m,RB Leipzig,GER,"Aug 1, 1999 (24)",Horn,Austria,"1,80 m",Attacking Midfield,,,29 / 10,right,24,Austria,
Fábio Carvalho,/fabio-carvalho/profil/spieler/559263,€16.00m,RB Leipzig,GER,"Aug 30, 2002 (21)",Torres Vedras,Portugal,"1,70 m",Attacking Midfield,,,2-Apr,right,21,,Portugal U21
Emil Forsberg,/emil-forsberg/profil/spieler/111078,€7.00m,RB Leipzig,GER,"Oct 23, 1991 (31)",Sundsvall,Sweden,"1,77 m",Attacking Midfield,,,82 / 20,right,31,Sweden,
Xavi Simons,/xavi-simons/profil/spieler/566931,€40.00m,RB Leipzig,GER,"Apr 21, 2003 (20)",Amsterdam,Netherlands,"1,79 m",Right Winger,,,May-00,right,20,Netherlands,
Loïs Openda,/lois-openda/profil/spieler/368887,€35.00m,RB Leipzig,GER,"Feb 16, 2000 (23)",Liège,Belgium,"1,77 m",Centre-Forward,,,2-Oct,right,23,Belgium,
Timo Werner,/timo-werner/profil/spieler/170527,€25.00m,RB Leipzig,GER,"Mar 6, 1996 (27)",Stuttgart,Germany,"1,80 m",Centre-Forward,Sports360 GmbH,Germany,57 / 24,right,27,,
Benjamin Sesko,/benjamin-sesko/profil/spieler/627442,€24.00m,RB Leipzig,GER,"May 31, 2003 (20)",Radeče,Slovenia,"1,94 m",Centre-Forward,,,22 / 7,right,20,Slovenia,
Yussuf Poulsen,/yussuf-poulsen/profil/spieler/157635,€7.00m,RB Leipzig,GER,"Jun 15, 1994 (29)",Kopenhagen,Denmark,"1,92 m",Centre-Forward,,,69 / 12,right,29,Denmark,
Koen Casteels,/koen-casteels/profil/spieler/108880,€8.00m,VfL Wolfsburg,GER,"Jun 25, 1992 (31)",Bonheiden,Belgium,"1,97 m",Goalkeeper,,,Jun-00,left,31,Belgium,
Pavao Pervan,/pavao-pervan/profil/spieler/51977,€400k,VfL Wolfsburg,GER,"Nov 13, 1987 (35)",Livno,Austria,"1,94 m",Goalkeeper,ROOF,,Jul-00,na,35,,Austria
Philipp Schulze,/philipp-schulze/profil/spieler/574203,€200k,VfL Wolfsburg,GER,"Jan 29, 2003 (20)",Neustadt am ...,Germany,"1,90 m",Goalkeeper,PRO Profil GmbH,,Jan-00,,20,,Germany U18
Niklas Klinger,/niklas-klinger/profil/spieler/192268,€100k,VfL Wolfsburg,GER,"Oct 13, 1995 (27)",Wolfsburg,Germany,"1,87 m",Goalkeeper,,,,right,27,,
Maxence Lacroix,/maxence-lacroix/profil/spieler/434224,€17.00m,VfL Wolfsburg,GER,"Apr 6, 2000 (23)",Villeneuve-Saint-Geo...,France,"1,90 m",Centre-Back,,,Feb-00,right,23,,France U20
Sebastiaan Bornauw,/sebastiaan-bornauw/profil/spieler/338629,€8.50m,VfL Wolfsburg,GER,"Mar 22, 1999 (24)",Wemmel,Belgium,"1,91 m",Centre-Back,CAA Stellar,Belgium,Apr-00,right,24,,
Moritz Jenz,/moritz-jenz/profil/spieler/460245,€7.50m,VfL Wolfsburg,GER,"Apr 30, 1999 (24)",Berlin,Germany,"1,90 m",Centre-Back,Sports360 GmbH,,,right,24,,
Cédric Zesiger,/cedric-zesiger/profil/spieler/382478,€5.50m,VfL Wolfsburg,GER,"Jun 24, 1998 (25)",Meyriez FR,Switzerland,"1,94 m",Centre-Back,,,Feb-00,left,25,Switzerland,
Felix Lange,/felix-lange/profil/spieler/798773,,VfL Wolfsburg,GER,"Mar 13, 2004 (19)",Braunschweig,Germany,"1,87 m",Centre-Back,,,,right,19,,
Rogério,/rogerio/profil/spieler/401527,€5.50m,VfL Wolfsburg,GER,"Jan 13, 1998 (25)",Nobres,Brazil,"1,78 m",Left-Back,,,Jan-00,left,25,,Brazil U23
Nicolas Cozza,/nicolas-cozza/profil/spieler/485965,€3.50m,VfL Wolfsburg,GER,"Jan 8, 1999 (24)",Ganges,France,"1,78 m",Left-Back,,,Jul-00,left,24,,France U21
Joakim Maehle,/joakim-maehle/profil/spieler/369674,€14.00m,VfL Wolfsburg,GER,"May 20, 1997 (26)",Østervrå,Denmark,"1,85 m",Right-Back,,,37 / 10,right,26,Denmark,
Ridle Baku,/ridle-baku/profil/spieler/327251,€13.00m,VfL Wolfsburg,GER,"Apr 8, 1998 (25)",Mainz,Germany,"1,76 m",Right-Back,Sports360 GmbH,,1-Apr,right,25,,Germany
Kilian Fischer,/kilian-fischer/profil/spieler/435796,€2.00m,VfL Wolfsburg,GER,"Oct 12, 2000 (22)",Miltenberg,Germany,"1,82 m",Right-Back,,Germany U21,Jul-00,na,22,,
Lovro Majer,/lovro-majer/profil/spieler/387106,€20.00m,VfL Wolfsburg,GER,"Jan 17, 1998 (25)",Zagreb,Croatia,"1,78 m",Central Midfield,,,21 / 4,left,25,Croatia,
Mattias Svanberg,/mattias-svanberg/profil/spieler/342405,€18.00m,VfL Wolfsburg,GER,"Jan 5, 1999 (24)",Malmö,Sweden,"1,85 m",Central Midfield,,,28 / 2,right,24,Sweden,
Maximilian Arnold,/maximilian-arnold/profil/spieler/117674,€14.00m,VfL Wolfsburg,GER,"May 27, 1994 (29)",Riesa,Germany,"1,84 m",Central Midfield,Karl M. Herzog ...,Germany,Mar-00,left,29,,
Aster Vranckx,/aster-vranckx/profil/spieler/503881,€8.50m,VfL Wolfsburg,GER,"Oct 4, 2002 (20)",Erps-Kwerps,Belgium,"1,83 m",Central Midfield,,,Feb-00,right,20,Belgium,
Yannick Gerhardt,/yannick-gerhardt/profil/spieler/119277,€6.00m,VfL Wolfsburg,GER,"Mar 13, 1994 (29)",Würselen,Germany,"1,84 m",Central Midfield,,,Jan-00,left,29,,Germany
Kevin Paredes,/kevin-paredes/profil/spieler/711517,€5.00m,VfL Wolfsburg,GER,"May 7, 2003 (20)","South Riding, ...",United States,"1,70 m",Left Midfield,,,0 / 0,left,20,USA,
Jakub Kaminski,/jakub-kaminski/profil/spieler/407098,€12.00m,VfL Wolfsburg,GER,"Jun 5, 2002 (21)",Ruda Śląska,Poland,"1,79 m",Left Winger,,,1-Nov,right,21,Poland,
Ulysses Llanez,/ulysses-llanez/profil/spieler/469858,€200k,VfL Wolfsburg,GER,"Apr 2, 2001 (22)","Lynwood, California",United States,"1,70 m",Left Winger,,,1-Mar,right,22,,USA
Patrick Wimmer,/patrick-wimmer/profil/spieler/533295,€18.00m,VfL Wolfsburg,GER,"May 30, 2001 (22)",Tulln,Austria,"1,82 m",Right Winger,,,May-00,right,22,Austria,
Vaclav Cerny,/vaclav-cerny/profil/spieler/242063,€8.00m,VfL Wolfsburg,GER,"Oct 17, 1997 (25)",Příbram,Czech Republic,"1,82 m",Right Winger,,,13 / 5,left,25,Czechia,
