name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Morgan Sanson,/morgan-sanson/profil/spieler/174094,€6.00m,OGC Nice,FRA,"Aug 18, 1994 (29)",Saint-Doulchard,France,"1,80 m",Central Midfield,,,2-Oct,right,29,,France U21
Daouda Traoré,/daouda-traore/profil/spieler/986300,€100k,OGC Nice,FRA,"Jul 22, 2006 (17)",Ivry-sur-Seine,France,"1,86 m",Right Midfield,,,1-Dec,,17,France U17,
Alexis Claude-Maurice,/alexis-claude-maurice/profil/spieler/384593,€4.50m,OGC Nice,FRA,"Jun 6, 1998 (25)",Noisy-le-Grand,France,"1,74 m",Attacking Midfield,Sport Cover,,Feb-00,right,25,,France U21
Sofiane Diop,/sofiane-diop/profil/spieler/569389,€15.00m,OGC Nice,FRA,"Jun 9, 2000 (23)",Tours,France,"1,75 m",Left Winger,,,4-Nov,right,23,France U21,
Jérémie Boga,/jeremie-boga/profil/spieler/216569,€14.00m,OGC Nice,FRA,"Jan 3, 1997 (26)",Marseille,Cote d'Ivoire,"1,72 m",Left Winger,,,1-Dec,right,26,Ivory Coast,
Aliou Baldé,/aliou-balde/profil/spieler/666977,€800k,OGC Nice,FRA,"Dec 12, 2002 (20)",Baghagha,Senegal,"1,70 m",Left Winger,Ediz Balkan,Senegal U23,0 / 0,right,20,,
Badredine Bouanani,/badredine-bouanani/profil/spieler/707242,€6.00m,OGC Nice,FRA,"Dec 8, 2004 (18)",Lille,Algeria,"1,77 m",Right Winger,Classico,Algeria,Mar-00,left,18,,
Terem Moffi,/terem-moffi/profil/spieler/538874,€20.00m,OGC Nice,FRA,"May 25, 1999 (24)",Calabar,Nigeria,"1,88 m",Centre-Forward,,,3-Oct,left,24,Nigeria,
Gaëtan Laborde,/gaetan-laborde/profil/spieler/181378,€16.00m,OGC Nice,FRA,"May 3, 1994 (29)",Mont-de-Marsan,France,"1,81 m",Centre-Forward,,,May-00,left,29,,France U20
Evann Guessand,/evann-guessand/profil/spieler/500689,€4.50m,OGC Nice,FRA,"Jul 1, 2001 (22)",Ajaccio,France,"1,85 m",Centre-Forward,,,Apr-00,right,22,,France U19
Lucas Chevalier,/lucas-chevalier/profil/spieler/463600,€10.00m,LOSC Lille,FRA,"Nov 6, 2001 (21)",Calais,France,"1,89 m",Goalkeeper,,,Jan-00,right,21,France U21,
Vito Mannone,/vito-mannone/profil/spieler/33781,€300k,LOSC Lille,FRA,"Mar 2, 1988 (35)",Desio,Italy,"1,89 m",Goalkeeper,,,Aug-00,right,35,,Italy U21
Adam Jakubech,/adam-jakubech/profil/spieler/258267,€300k,LOSC Lille,FRA,"Jan 2, 1997 (26)",Prešov,Slovakia,"1,88 m",Goalkeeper,FairSport,,Jan-00,right,26,,Slovakia
Tiago Djaló,/tiago-djalo/profil/spieler/420465,€16.00m,LOSC Lille,FRA,"Apr 9, 2000 (23)",Amadora,Portugal,"1,90 m",Centre-Back,,,0 / 0,right,23,Portugal,
Leny Yoro,/leny-yoro/profil/spieler/923831,€10.00m,LOSC Lille,FRA,"Nov 13, 2005 (17)",Saint-Maurice,France,"1,90 m",Centre-Back,,France U21,0 / 0,right,17,,
Bafodé Diakité,/bafode-diakite/profil/spieler/463605,€10.00m,LOSC Lille,FRA,"Jan 6, 2001 (22)",Toulouse,France,"1,85 m",Centre-Back,Classico,,Jan-00,right,22,France U21,
Alexsandro,/alexsandro/profil/spieler/648020,€5.00m,LOSC Lille,FRA,"Aug 9, 1999 (24)",Rio de Janeiro,Brazil,"1,89 m",Centre-Back,,,,right,24,,
Samuel Umtiti,/samuel-umtiti/profil/spieler/126540,€4.00m,LOSC Lille,FRA,"Nov 14, 1993 (29)",Yaoundé,France,"1,82 m",Centre-Back,,,31 / 4,left,29,,France
Gabriel Gudmundsson,/gabriel-gudmundsson/profil/spieler/362108,€4.50m,LOSC Lille,FRA,"Apr 29, 1999 (24)",Malmö,Sweden,"1,80 m",Left-Back,,,May-00,left,24,Sweden,
Ismaily,/ismaily/profil/spieler/124028,€2.50m,LOSC Lille,FRA,"Jan 11, 1990 (33)",Ivinhema,Brazil,"1,77 m",Left-Back,,,0 / 0,left,33,,Brazil
Tiago Santos,/tiago-santos/profil/spieler/816580,€3.50m,LOSC Lille,FRA,"Jul 23, 2002 (21)",Lisboa,Portugal,"1,75 m",Right-Back,Gestifute,Portugal U21,Jan-00,right,21,,
Akim Zedadka,/akim-zedadka/profil/spieler/327863,€2.50m,LOSC Lille,FRA,"May 30, 1995 (28)",Pertuis,Algeria,"1,73 m",Right-Back,,,Jan-00,right,28,Algeria,
Benjamin André,/benjamin-andre/profil/spieler/84301,€9.00m,LOSC Lille,FRA,"Aug 3, 1990 (33)",Nice,France,"1,80 m",Defensive Midfield,,,Jul-00,right,33,,France U21
Ignacio Miramón,/ignacio-miramon/profil/spieler/836518,€4.00m,LOSC Lille,FRA,"Jun 12, 2003 (20)",Bolívar,Argentina,"1,73 m",Defensive Midfield,,Argentina U20,Mar-00,right,20,,
Angel Gomes,/angel-gomes/profil/spieler/392770,€18.00m,LOSC Lille,FRA,"Aug 31, 2000 (23)",London,England,"1,68 m",Central Midfield,,,18 / 0,right,23,England U21,
Nabil Bentaleb,/nabil-bentaleb/profil/spieler/245537,€7.00m,LOSC Lille,FRA,"Nov 24, 1994 (28)",Lille,Algeria,"1,87 m",Central Midfield,,Algeria,43 / 5,left,28,,
Yusuf Yazici,/yusuf-yazici/profil/spieler/386726,€9.00m,LOSC Lille,FRA,"Jan 29, 1997 (26)",Trabzon,Turkey,"1,84 m",Attacking Midfield,,,39 / 2,left,26,,Turkey
Rémy Cabella,/remy-cabella/profil/spieler/113707,€5.00m,LOSC Lille,FRA,"Mar 8, 1990 (33)",Ajaccio,France,"1,72 m",Attacking Midfield,,,Apr-00,right,33,,France
Hákon Arnar Haraldsson,/hakon-arnar-haraldsson/profil/spieler/652275,€6.00m,LOSC Lille,FRA,"Apr 10, 2003 (20)",Raufoss,Iceland,"1,80 m",Left Winger,CAA Stellar,Iceland,2-Dec,right,20,,
Alan Virginius,/alan-virginius/profil/spieler/654415,€4.00m,LOSC Lille,FRA,"Jan 3, 2003 (20)",Soisy-sous-Montmoren...,France,"1,75 m",Left Winger,,,Feb-00,right,20,France U20,
Ivan Cavaleiro,/ivan-cavaleiro/profil/spieler/149716,€2.20m,LOSC Lille,FRA,"Oct 18, 1993 (29)",Vila Franca de Xira,Angola,"1,75 m",Left Winger,Gestifute,Angola,0 / 0,right,29,,
Edon Zhegrova,/edon-zhegrova/profil/spieler/496857,€8.00m,LOSC Lille,FRA,"Mar 31, 1999 (24)",Herford,Kosovo,"1,81 m",Right Winger,,Kosovo,28 / 3,left,24,,
Adam Ounas,/adam-ounas/profil/spieler/400485,€7.00m,LOSC Lille,FRA,"Nov 11, 1996 (26)",Chambray-lès-Tours,Algeria,"1,72 m",Right Winger,,,21 / 5,left,26,Algeria,
Jonathan David,/jonathan-david/profil/spieler/533738,€60.00m,LOSC Lille,FRA,"Jan 14, 2000 (23)","Brooklyn, New York",Canada,"1,75 m",Centre-Forward,Axia Sports ...,,42 / 25,na,23,Canada,
Brice Samba,/brice-samba/profil/spieler/191056,€13.00m,RC Lens,FRA,"Apr 25, 1994 (29)",Linzolo,France,"1,87 m",Goalkeeper,Sport Cover,France,Jan-00,left,29,,
Wuilker Fariñez,/wuilker-farinez/profil/spieler/373714,€3.50m,RC Lens,FRA,"Feb 15, 1998 (25)","Caracas, Distrito ...",Venezuela,"1,80 m",Goalkeeper,,,40 / 0,right,25,,Venezuela
Jean-Louis Leca,/jean-louis-leca/profil/spieler/27490,€200k,RC Lens,FRA,"Sep 21, 1985 (37)",Bastia,France,"1,80 m",Goalkeeper,,,,right,37,,
Yannick Pandor,/yannick-pandor/profil/spieler/804829,€150k,RC Lens,FRA,"May 1, 2001 (22)",Marseille,Comoros,"1,92 m",Goalkeeper,,Comoros,Mar-00,left,22,,
Kevin Danso,/kevin-danso/profil/spieler/263236,€22.00m,RC Lens,FRA,"Sep 19, 1998 (24)",Voitsberg,Austria,"1,90 m",Centre-Back,,Austria,13 / 0,right,24,,
Facundo Medina,/facundo-medina/profil/spieler/474800,€22.00m,RC Lens,FRA,"May 28, 1999 (24)",Buenos Aires,Argentina,"1,84 m",Centre-Back,,Argentina,Mar-00,left,24,,
Jonathan Gradit,/jonathan-gradit/profil/spieler/126557,€5.00m,RC Lens,FRA,"Nov 24, 1992 (30)",Talence,France,"1,80 m",Centre-Back,,,,right,30,,
Abdukodir Khusanov,/abdukodir-khusanov/profil/spieler/763079,€400k,RC Lens,FRA,"Feb 29, 2004 (19)",Tashkent,Uzbekistan,"1,86 m",Centre-Back,,Uzbekistan U23,Feb-00,,19,,
Faitout Maouassa,/faitout-maouassa/profil/spieler/357072,€6.00m,RC Lens,FRA,"Jul 6, 1998 (25)",Villepinte,France,"1,70 m",Left-Back,Classico,,Jun-00,left,25,,France U21
Deiver Machado,/deiver-machado/profil/spieler/332560,€4.00m,RC Lens,FRA,"Sep 2, 1993 (30)",Tadó,Colombia,"1,80 m",Left-Back,,Colombia,Jun-00,left,30,,
Massadio Haidara,/massadio-haidara/profil/spieler/170929,€3.00m,RC Lens,FRA,"Dec 2, 1992 (30)",Trappes,Mali,"1,79 m",Left-Back,,Mali,17 / 2,left,30,,
Ruben Aguilar,/ruben-aguilar/profil/spieler/203746,€7.00m,RC Lens,FRA,"Apr 26, 1993 (30)",Grenoble,France,"1,70 m",Right-Back,,,Jan-00,right,30,,France
Salis Abdul Samed,/salis-abdul-samed/profil/spieler/688707,€18.00m,RC Lens,FRA,"Mar 26, 2000 (23)",Accra,Ghana,"1,79 m",Defensive Midfield,,Ghana,Jul-00,right,23,,
Stijn Spierings,/stijn-spierings/profil/spieler/241501,€6.00m,RC Lens,FRA,"Mar 12, 1996 (27)",Alkmaar,Netherlands,"1,88 m",Defensive Midfield,,,May-00,right,27,,Netherlands U20
Nampalys Mendy,/nampalys-mendy/profil/spieler/111051,€2.50m,RC Lens,FRA,"Jun 23, 1992 (31)",La Seyne-sur-Mer,Senegal,"1,68 m",Defensive Midfield,,Senegal,27 / 0,right,31,,
Andy Diouf,/andy-diouf/profil/spieler/711976,€7.00m,RC Lens,FRA,"May 17, 2003 (20)",Neuilly-sur-Seine,France,"1,87 m",Central Midfield,,,Jan-00,left,20,France U21,
Neil El Aynaoui,/neil-el-aynaoui/profil/spieler/901019,€700k,RC Lens,FRA,"Jul 2, 2001 (22)",Nancy,Morocco,"1,85 m",Central Midfield,,Morocco U23,0 / 0,right,22,,
Przemyslaw Frankowski,/przemyslaw-frankowski/profil/spieler/239743,€9.00m,RC Lens,FRA,"Apr 12, 1995 (28)",Gdańsk,Poland,"1,75 m",Right Midfield,,,34 / 1,right,28,Poland,
Jimmy Cabot,/jimmy-cabot/profil/spieler/206912,€3.50m,RC Lens,FRA,"Apr 18, 1994 (29)",Chambéry,France,"1,64 m",Right Midfield,,,,right,29,,
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,€9.00m,RC Lens,FRA,"Aug 20, 1996 (27)",Abidjan,France,"1,82 m",Attacking Midfield,,,Mar-00,right,27,,France U21
David Pereira da Costa,/david-pereira-da-costa/profil/spieler/719442,€8.00m,RC Lens,FRA,"Jan 5, 2001 (22)",Almada,Portugal,"1,68 m",Attacking Midfield,ROGON,,1-Jun,right,22,Portugal U21,
