name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,former_international,national_player
Ederson,/ederson/profil/spieler/238223,€40.00m,Manchester City,ENG,"Aug 17, 1993 (30)",Osasco (SP),Brazil,"1,88 m",Goalkeeper,Gestifute,Brazil,22 / 0,left,30,,
Stefan Ortega,/stefan-ortega/profil/spieler/85941,€9.00m,Manchester City,ENG,"Nov 6, 1992 (30)",Hofgeismar,Germany,"1,85 m",Goalkeeper,,,0 / 0,right,30,Germany U19,
Zack Steffen,/zack-steffen/profil/spieler/221624,€3.50m,Manchester City,ENG,"Apr 2, 1995 (28)","Coatesville, ...",United States,"1,91 m",Goalkeeper,,,29 / 0,right,28,,USA
Scott Carson,/scott-carson/profil/spieler/14555,€200k,Manchester City,ENG,"Sep 3, 1985 (38)",Whitehaven,England,"1,88 m",Goalkeeper,,,Apr-00,right,38,England,
Rúben Dias,/ruben-dias/profil/spieler/258004,€80.00m,Manchester City,ENG,"May 14, 1997 (26)",Amadora,Portugal,"1,87 m",Centre-Back,Gestifute,Portugal,49 / 2,right,26,,
Josko Gvardiol,/josko-gvardiol/profil/spieler/475959,€75.00m,Manchester City,ENG,"Jan 23, 2002 (21)",Zagreb,Croatia,"1,85 m",Centre-Back,,Croatia,22 / 2,left,21,,
Nathan Aké,/nathan-ake/profil/spieler/177476,€42.00m,Manchester City,ENG,"Feb 18, 1995 (28)",Den Haag,Netherlands,"1,80 m",Centre-Back,,Netherlands,38 / 5,left,28,,
John Stones,/john-stones/profil/spieler/186590,€40.00m,Manchester City,ENG,"May 28, 1994 (29)",Barnsley,England,"1,88 m",Centre-Back,,,67 / 3,right,29,,England
Manuel Akanji,/manuel-akanji/profil/spieler/284730,€38.00m,Manchester City,ENG,"Jul 19, 1995 (28)",Wiesendangen,Switzerland,"1,88 m",Centre-Back,,Switzerland,51 / 2,right,28,,
Sergio Gómez,/sergio-gomez/profil/spieler/366930,€13.00m,Manchester City,ENG,"Sep 4, 2000 (23)",Badalona,Spain,"1,71 m",Left-Back,SEG,,19 / 10,left,23,,Spain U21
Rico Lewis,/rico-lewis/profil/spieler/701057,€20.00m,Manchester City,ENG,"Nov 21, 2004 (18)",Bury,England,"1,69 m",Right-Back,,England U21,Jan-00,right,18,,
Kyle Walker,/kyle-walker/profil/spieler/95424,€13.00m,Manchester City,ENG,"May 28, 1990 (33)",Sheffield,England,"1,83 m",Right-Back,,England,77 / 1,right,33,,
Rodri,/rodri/profil/spieler/357565,€90.00m,Manchester City,ENG,"Jun 22, 1996 (27)",Madrid,Spain,"1,91 m",Defensive Midfield,,Spain,44 / 1,right,27,,
Kalvin Phillips,/kalvin-phillips/profil/spieler/351749,€32.00m,Manchester City,ENG,"Dec 2, 1995 (27)",Leeds,England,"1,79 m",Defensive Midfield,CAA Stellar,England,27 / 1,right,27,,
Matheus Nunes,/matheus-nunes/profil/spieler/601883,€45.00m,Manchester City,ENG,"Aug 27, 1998 (25)",Rio de Janeiro,Portugal,"1,83 m",Central Midfield,Gestifute,,1-Nov,right,25,,Portugal
Mateo Kovacic,/mateo-kovacic/profil/spieler/51471,€38.00m,Manchester City,ENG,"May 6, 1994 (29)",Linz,Croatia,"1,77 m",Central Midfield,VPA Sports,Croatia,95 / 5,right,29,,
Bernardo Silva,/bernardo-silva/profil/spieler/241641,€80.00m,Manchester City,ENG,"Aug 10, 1994 (29)",Lisboa,Portugal,"1,73 m",Attacking Midfield,Gestifute,Portugal,83 / 11,left,29,,
Kevin De Bruyne,/kevin-de-bruyne/profil/spieler/88755,€70.00m,Manchester City,ENG,"Jun 28, 1991 (32)",Drongen,Belgium,"1,81 m",Attacking Midfield,,,99 / 26,right,32,,Belgium
Oscar Bobb,/oscar-bobb/profil/spieler/661207,,Manchester City,ENG,"Jul 12, 2003 (20)",Oslo,Norway,,Attacking Midfield,CAA Stellar,Norway U21,1-Jul,left,20,,
Phil Foden,/phil-foden/profil/spieler/406635,€110.00m,Manchester City,ENG,"May 28, 2000 (23)",Stockport,England,"1,71 m",Left Winger,,England,26 / 3,left,23,,
Jack Grealish,/jack-grealish/profil/spieler/203460,€75.00m,Manchester City,ENG,"Sep 10, 1995 (28)",Birmingham,England,"1,80 m",Left Winger,CAA Stellar,England,32 / 2,right,28,,
Jérémy Doku,/jeremy-doku/profil/spieler/486049,€28.00m,Manchester City,ENG,"May 27, 2002 (21)",Borgerhout,Belgium,"1,73 m",Right Winger,,Belgium,15 / 2,right,21,,
Erling Haaland,/erling-haaland/profil/spieler/418560,€180.00m,Manchester City,ENG,"Jul 21, 2000 (23)",Leeds,Norway,"1,95 m",Centre-Forward,Rafaela Pimenta,Norway,25 / 24,left,23,,
Julián Álvarez,/julian-alvarez/profil/spieler/576024,€60.00m,Manchester City,ENG,"Jan 31, 2000 (23)",Calchín,Argentina,"1,70 m",Centre-Forward,,Argentina,23 / 7,right,23,,
Aaron Ramsdale,/aaron-ramsdale/profil/spieler/427568,€40.00m,Arsenal FC,ENG,"May 14, 1998 (25)",Chesterton,England,"1,90 m",Goalkeeper,,England,Mar-00,right,25,,
David Raya,/david-raya/profil/spieler/262749,€30.00m,Arsenal FC,ENG,"Sep 15, 1995 (27)",Barcelona,Spain,"1,83 m",Goalkeeper,,Spain,Feb-00,right,27,,
Karl Hein,/karl-hein/profil/spieler/493513,€1.50m,Arsenal FC,ENG,"Apr 13, 2002 (21)",Põlva,Estonia,"1,93 m",Goalkeeper,,Estonia,23 / 0,right,21,,
William Saliba,/william-saliba/profil/spieler/495666,€65.00m,Arsenal FC,ENG,"Mar 24, 2001 (22)",Bondy,France,"1,92 m",Centre-Back,,France,Sep-00,right,22,,
Gabriel Magalhães,/gabriel-magalhaes/profil/spieler/435338,€55.00m,Arsenal FC,ENG,"Dec 19, 1997 (25)",São Paulo,Brazil,"1,90 m",Centre-Back,,Brazil,Jan-00,left,25,,
Jurrien Timber,/jurrien-timber/profil/spieler/420243,€42.00m,Arsenal FC,ENG,"Jun 17, 2001 (22)",Utrecht,Netherlands,"1,82 m",Centre-Back,,,15 / 0,right,22,,Netherlands
Jakub Kiwior,/jakub-kiwior/profil/spieler/425918,€25.00m,Arsenal FC,ENG,"Feb 15, 2000 (23)",Tychy,Poland,"1,89 m",Centre-Back,FairSport,Poland,13 / 1,left,23,,
Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853,€42.00m,Arsenal FC,ENG,"Dec 15, 1996 (26)","Radomyshl, Zhytomyr ...",Ukraine,"1,75 m",Left-Back,,Ukraine,54 / 9,left,26,,
Ben White,/ben-white/profil/spieler/335721,€55.00m,Arsenal FC,ENG,"Oct 8, 1997 (25)",Poole,England,"1,86 m",Right-Back,,,Apr-00,right,25,,England
Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560,€25.00m,Arsenal FC,ENG,"Nov 5, 1998 (24)","Fukuoka, Fukuoka",Japan,"1,88 m",Right-Back,,Japan,33 / 1,right,24,,
Cédric Soares,/cedric-soares/profil/spieler/112988,€3.00m,Arsenal FC,ENG,"Aug 31, 1991 (32)",Singen,Portugal,"1,71 m",Right-Back,,,34 / 1,right,32,Portugal,
Declan Rice,/declan-rice/profil/spieler/357662,€90.00m,Arsenal FC,ENG,"Jan 14, 1999 (24)",London,England,"1,88 m",Defensive Midfield,,England,44 / 3,right,24,,
Thomas Partey,/thomas-partey/profil/spieler/230784,€35.00m,Arsenal FC,ENG,"Jun 13, 1993 (30)",Odumase Krobo,Ghana,"1,85 m",Defensive Midfield,,,45 / 13,right,30,,Ghana
Jorginho,/jorginho/profil/spieler/102017,€25.00m,Arsenal FC,ENG,"Dec 20, 1991 (31)",Imbituba,Italy,"1,78 m",Defensive Midfield,,,48 / 5,right,31,,Italy
Mohamed Elneny,/mohamed-elneny/profil/spieler/160438,€6.00m,Arsenal FC,ENG,"Jul 11, 1992 (31)",Mahalla,Egypt,"1,79 m",Defensive Midfield,,,90 / 8,right,31,,Egypt
Martin Ødegaard,/martin-odegaard/profil/spieler/316264,€90.00m,Arsenal FC,ENG,"Dec 17, 1998 (24)",Drammen,Norway,"1,78 m",Attacking Midfield,,Norway,52 / 2,left,24,,
Kai Havertz,/kai-havertz/profil/spieler/309400,€55.00m,Arsenal FC,ENG,"Jun 11, 1999 (24)",Aachen,Germany,"1,93 m",Attacking Midfield,ROOF,Germany,38 / 13,left,24,,
Emile Smith Rowe,/emile-smith-rowe/profil/spieler/392765,€35.00m,Arsenal FC,ENG,"Jul 28, 2000 (23)",London,England,"1,82 m",Attacking Midfield,,,16 / 5,right,23,,England U21
Fábio Vieira,/fabio-vieira/profil/spieler/537598,€25.00m,Arsenal FC,ENG,"May 30, 2000 (23)",Santa Maria da Feira,Portugal,"1,70 m",Attacking Midfield,Gestifute,,25 / 14,left,23,,Portugal U21
Gabriel Martinelli,/gabriel-martinelli/profil/spieler/655488,€80.00m,Arsenal FC,ENG,"Jun 18, 2001 (22)",Guarulhos,Brazil,"1,78 m",Left Winger,,Brazil,Jun-00,right,22,,
Leandro Trossard,/leandro-trossard/profil/spieler/144028,€35.00m,Arsenal FC,ENG,"Dec 4, 1994 (28)",Waterschei,Belgium,"1,72 m",Left Winger,,Belgium,27 / 5,right,28,,
Bukayo Saka,/bukayo-saka/profil/spieler/433177,€120.00m,Arsenal FC,ENG,"Sep 5, 2001 (22)",London,England,"1,78 m",Right Winger,,England,29 / 11,left,22,,
Reiss Nelson,/reiss-nelson/profil/spieler/340325,€12.00m,Arsenal FC,ENG,"Dec 10, 1999 (23)",London,England,"1,75 m",Right Winger,,,6-Dec,right,23,England U21,
Gabriel Jesus,/gabriel-jesus/profil/spieler/363205,€75.00m,Arsenal FC,ENG,"Apr 3, 1997 (26)",São Paulo,Brazil,"1,75 m",Centre-Forward,,Brazil,60 / 19,right,26,,
Eddie Nketiah,/eddie-nketiah/profil/spieler/340324,€25.00m,Arsenal FC,ENG,"May 30, 1999 (24)",London,England,"1,75 m",Centre-Forward,,England,0 / 0,right,24,,
Robert Sánchez,/robert-sanchez/profil/spieler/403151,€22.00m,Chelsea FC,ENG,"Nov 18, 1997 (25)",Cartagena,Spain,"1,97 m",Goalkeeper,CAA Stellar,,Feb-00,right,25,,Spain
Djordje Petrovic,/djordje-petrovic/profil/spieler/465555,€6.00m,Chelsea FC,ENG,"Oct 8, 1999 (23)",Požarevac,Serbia,"1,94 m",Goalkeeper,Rabona Sports,Serbia,Feb-00,right,23,,
Marcus Bettinelli,/marcus-bettinelli/profil/spieler/116648,€1.50m,Chelsea FC,ENG,"May 24, 1992 (31)",London,England,"1,93 m",Goalkeeper,,,0 / 0,right,31,England,
Wesley Fofana,/wesley-fofana/profil/spieler/475411,€55.00m,Chelsea FC,ENG,"Dec 17, 2000 (22)",Marseille,France,"1,86 m",Centre-Back,,,Jan-00,right,22,,France
Benoît Badiashile,/benoit-badiashile/profil/spieler/463603,€40.00m,Chelsea FC,ENG,"Mar 26, 2001 (22)",Limoges,France,"1,94 m",Centre-Back,,,Feb-00,left,22,,France
Levi Colwill,/levi-colwill/profil/spieler/614258,€35.00m,Chelsea FC,ENG,"Feb 26, 2003 (20)",Southampton,England,"1,87 m",Centre-Back,,England,0 / 0,left,20,,
Axel Disasi,/axel-disasi/profil/spieler/386047,€30.00m,Chelsea FC,ENG,"Mar 11, 1998 (25)",Gonesse,France,"1,90 m",Centre-Back,,France,Apr-00,right,25,,
Trevoh Chalobah,/trevoh-chalobah/profil/spieler/346314,€18.00m,Chelsea FC,ENG,"Jul 5, 1999 (24)",Freetown,England,"1,92 m",Centre-Back,,,Mar-00,right,24,England U21,
Malang Sarr,/malang-sarr/profil/spieler/344596,€6.00m,Chelsea FC,ENG,"Jan 23, 1999 (24)",Nice,France,"1,83 m",Centre-Back,,,Jun-00,left,24,France U21,
Thiago Silva,/thiago-silva/profil/spieler/29241,€2.00m,Chelsea FC,ENG,"Sep 22, 1984 (38)",Rio de Janeiro,Brazil,"1,81 m",Centre-Back,,,113 / 7,right,38,,Brazil
Marc Cucurella,/marc-cucurella/profil/spieler/284857,€35.00m,Chelsea FC,ENG,"Jul 22, 1998 (25)",Alella,Spain,"1,73 m",Left-Back,,,Jan-00,left,25,Spain,
Ben Chilwell,/ben-chilwell/profil/spieler/316125,€35.00m,Chelsea FC,ENG,"Dec 21, 1996 (26)",Milton Keynes,England,"1,80 m",Left-Back,CAA Stellar,England,19 / 1,left,26,,
Ian Maatsen,/ian-maatsen/profil/spieler/485585,€12.00m,Chelsea FC,ENG,"Mar 10, 2002 (21)",Vlaardingen,Netherlands,"1,67 m",Left-Back,Unique Sports Group,Netherlands,0 / 0,left,21,,
Reece James,/reece-james/profil/spieler/472423,€65.00m,Chelsea FC,ENG,"Dec 8, 1999 (23)",London,England,"1,80 m",Right-Back,Unique Sports Group,,16 / 0,right,23,,England
Malo Gusto,/malo-gusto/profil/spieler/620322,€25.00m,Chelsea FC,ENG,"May 19, 2003 (20)",Décines-Charpieu,France,"1,78 m",Right-Back,,France U21,1-Jul,right,20,,
Enzo Fernández,/enzo-fernandez/profil/spieler/648195,€80.00m,Chelsea FC,ENG,"Jan 17, 2001 (22)",San Martín,Argentina,"1,78 m",Defensive Midfield,,Argentina,14 / 2,right,22,,
Moisés Caicedo,/moises-caicedo/profil/spieler/687626,€75.00m,Chelsea FC,ENG,"Nov 2, 2001 (21)",Santo Domingo,Ecuador,"1,78 m",Defensive Midfield,,Ecuador,33 / 3,right,21,,
Roméo Lavia,/romeo-lavia/profil/spieler/628451,€32.00m,Chelsea FC,ENG,"Jan 6, 2004 (19)",Brussels,Belgium,"1,81 m",Defensive Midfield,,,Jan-00,right,19,,Belgium
Lesley Ugochukwu,/lesley-ugochukwu/profil/spieler/711999,€9.00m,Chelsea FC,ENG,"Mar 26, 2004 (19)",Rennes,France,"1,90 m",Defensive Midfield,,France U21,0 / 0,right,19,,
Conor Gallagher,/conor-gallagher/profil/spieler/488362,€32.00m,Chelsea FC,ENG,"Feb 6, 2000 (23)",Epsom,England,"1,82 m",Central Midfield,,England,Aug-00,right,23,,
Carney Chukwuemeka,/carney-chukwuemeka/profil/spieler/659459,€15.00m,Chelsea FC,ENG,"Oct 20, 2003 (19)",Eisenstadt,England,"1,87 m",Central Midfield,,,Jul-00,right,19,,England U20
Raheem Sterling,/raheem-sterling/profil/spieler/134425,€55.00m,Chelsea FC,ENG,"Dec 8, 1994 (28)",Kingston,England,"1,70 m",Left Winger,,,82 / 20,right,28,,England
Mykhaylo Mudryk,/mykhaylo-mudryk/profil/spieler/537860,€50.00m,Chelsea FC,ENG,"Jan 5, 2001 (22)","Krasnograd, Kharkiv ...",Ukraine,"1,75 m",Left Winger,,Ukraine,Dec-00,right,22,,
Noni Madueke,/noni-madueke/profil/spieler/503987,€30.00m,Chelsea FC,ENG,"Mar 10, 2002 (21)",London,England,"1,82 m",Right Winger,,England U21,13 / 1,left,21,,
Cole Palmer,/cole-palmer/profil/spieler/568177,€18.00m,Chelsea FC,ENG,"May 6, 2002 (21)",Manchester,England,"1,82 m",Right Winger,,England U21,13 / 4,left,21,,
Christopher Nkunku,/christopher-nkunku/profil/spieler/344381,€80.00m,Chelsea FC,ENG,"Nov 14, 1997 (25)",Lagny-sur-Marne,France,"1,78 m",Second Striker,,,Oct-00,right,25,,France
Nicolas Jackson,/nicolas-jackson/profil/spieler/776890,€30.00m,Chelsea FC,ENG,"Jun 20, 2001 (22)",Banjul,Senegal,"1,88 m",Centre-Forward,Epic Sports,Senegal,Mar-00,right,22,,
Armando Broja,/armando-broja/profil/spieler/571743,€28.00m,Chelsea FC,ENG,"Sep 10, 2001 (22)",Slough,Albania,"1,91 m",Centre-Forward,,,17 / 4,right,22,,Albania
Deivid Washington,/deivid-washington/profil/spieler/1082850,€4.00m,Chelsea FC,ENG,"Jun 5, 2005 (18)",Itumbiara,Brazil,"1,87 m",Centre-Forward,,,,right,18,,
André Onana,/andre-onana/profil/spieler/234509,€35.00m,Manchester United,ENG,"Apr 2, 1996 (27)",Nkol Ngok,Cameroon,"1,90 m",Goalkeeper,,Cameroon,34 / 0,right,27,,
Altay Bayindir,/altay-bayindir/profil/spieler/336077,€11.00m,Manchester United,ENG,"Apr 14, 1998 (25)",Bursa,Turkey,"1,98 m",Goalkeeper,,Turkey,May-00,right,25,,
Tom Heaton,/tom-heaton/profil/spieler/34130,€500k,Manchester United,ENG,"Apr 15, 1986 (37)",Chester,England,"1,88 m",Goalkeeper,,,Mar-00,right,37,England,
Lisandro Martínez,/lisandro-martinez/profil/spieler/480762,€50.00m,Manchester United,ENG,"Jan 18, 1998 (25)",Gualeguay,Argentina,"1,75 m",Centre-Back,,Argentina,16 / 0,left,25,,
Raphaël Varane,/raphael-varane/profil/spieler/164770,€35.00m,Manchester United,ENG,"Apr 25, 1993 (30)",Lille,France,"1,91 m",Centre-Back,,,93 / 5,right,30,France,
Harry Maguire,/harry-maguire/profil/spieler/177907,€20.00m,Manchester United,ENG,"Mar 5, 1993 (30)",Sheffield,England,"1,94 m",Centre-Back,,England,58 / 7,right,30,,
Victor Lindelöf,/victor-lindelof/profil/spieler/184573,€18.00m,Manchester United,ENG,"Jul 17, 1994 (29)",Västerås,Sweden,"1,87 m",Centre-Back,,Sweden,60 / 3,right,29,,
Jonny Evans,/jonny-evans/profil/spieler/42412,€2.00m,Manchester United,ENG,"Jan 3, 1988 (35)",Belfast,Northern Ireland,"1,88 m",Centre-Back,,N. Ireland,91 / 4,na,35,,
Luke Shaw,/luke-shaw/profil/spieler/183288,€42.00m,Manchester United,ENG,"Jul 12, 1995 (28)",Kingston upon Thames,England,"1,78 m",Left-Back,CAA Stellar,,31 / 3,left,28,,England
Tyrell Malacia,/tyrell-malacia/profil/spieler/339340,€22.00m,Manchester United,ENG,"Aug 17, 1999 (24)",Rotterdam,Netherlands,"1,69 m",Left-Back,,,Sep-00,left,24,,Netherlands
Sergio Reguilón,/sergio-reguilon/profil/spieler/282429,€10.00m,Manchester United,ENG,"Dec 16, 1996 (26)",Madrid,Spain,"1,78 m",Left-Back,,,Jun-00,left,26,Spain,
Diogo Dalot,/diogo-dalot/profil/spieler/357147,€40.00m,Manchester United,ENG,"Mar 18, 1999 (24)",Braga,Portugal,"1,83 m",Right-Back,Proeleven S.A.,Portugal,13 / 2,right,24,,
Aaron Wan-Bissaka,/aaron-wan-bissaka/profil/spieler/477758,€25.00m,Manchester United,ENG,"Nov 26, 1997 (25)",London,England,"1,83 m",Right-Back,Unique Sports Group,,Mar-00,right,25,England U21,
Casemiro,/casemiro/profil/spieler/16306,€40.00m,Manchester United,ENG,"Feb 23, 1992 (31)",São José dos ...,Brazil,"1,85 m",Defensive Midfield,,Brazil,72 / 7,right,31,,
Sofyan Amrabat,/sofyan-amrabat/profil/spieler/287579,€30.00m,Manchester United,ENG,"Aug 21, 1996 (27)",Huizen,Morocco,"1,85 m",Defensive Midfield,,Morocco,49 / 0,right,27,,
Scott McTominay,/scott-mctominay/profil/spieler/315969,€25.00m,Manchester United,ENG,"Dec 8, 1996 (26)",Lancaster,Scotland,"1,91 m",Defensive Midfield,,Scotland,40 / 6,right,26,,
Donny van de Beek,/donny-van-de-beek/profil/spieler/288255,€13.00m,Manchester United,ENG,"Apr 18, 1997 (26)",Nijkerkerveen,Netherlands,"1,84 m",Central Midfield,,,19 / 3,right,26,Netherlands,
Kobbie Mainoo,/kobbie-mainoo/profil/spieler/820374,€800k,Manchester United,ENG,"Apr 19, 2005 (18)",Stockport,England,"1,75 m",Central Midfield,CAA Stellar,,Mar-00,right,18,,England U19
Bruno Fernandes,/bruno-fernandes/profil/spieler/240306,€75.00m,Manchester United,ENG,"Sep 8, 1994 (29)",Maia,Portugal,"1,79 m",Attacking Midfield,MRP.POSITIONUMBER,Portugal,58 / 16,right,29,,
Mason Mount,/mason-mount/profil/spieler/346483,€60.00m,Manchester United,ENG,"Jan 10, 1999 (24)",Portsmouth,England,"1,81 m",Attacking Midfield,,,36 / 5,right,24,,England
Christian Eriksen,/christian-eriksen/profil/spieler/69633,€22.00m,Manchester United,ENG,"Feb 14, 1992 (31)",Middelfart,Denmark,"1,82 m",Attacking Midfield,,Denmark,123 / 40,right,31,,
Hannibal,/hannibal/profil/spieler/607224,€8.00m,Manchester United,ENG,"Jan 21, 2003 (20)",Ivry-sur-Seine,Tunisia,"1,83 m",Attacking Midfield,,Tunisia,25 / 0,right,20,,
Marcus Rashford,/marcus-rashford/profil/spieler/258923,€80.00m,Manchester United,ENG,"Oct 31, 1997 (25)",Manchester,England,"1,85 m",Left Winger,,England,54 / 16,right,25,,
Jadon Sancho,/jadon-sancho/profil/spieler/401173,€45.00m,Manchester United,ENG,"Mar 25, 2000 (23)",London,England,"1,80 m",Left Winger,,,23 / 3,right,23,England,
Alejandro Garnacho,/alejandro-garnacho/profil/spieler/811779,€25.00m,Manchester United,ENG,"Jul 1, 2004 (19)",Madrid,Argentina,"1,80 m",Left Winger,,Argentina,Feb-00,right,19,,
Antony,/antony/profil/spieler/602105,€60.00m,Manchester United,ENG,"Feb 24, 2000 (23)",São Paulo,Brazil,"1,72 m",Right Winger,,,15 / 2,left,23,,Brazil
Amad Diallo,/amad-diallo/profil/spieler/536835,€18.00m,Manchester United,ENG,"Jul 11, 2002 (21)",Abidjan,Cote d'Ivoire,"1,73 m",Right Winger,,,1-Apr,left,21,,Ivory Coast
Facundo Pellistri,/facundo-pellistri/profil/spieler/676318,€6.00m,Manchester United,ENG,"Dec 20, 2001 (21)",Montevideo,Uruguay,"1,75 m",Right Winger,CAA Stellar,Uruguay,13 / 0,right,21,,
Shola Shoretire,/shola-shoretire/profil/spieler/640026,€4.00m,Manchester United,ENG,"Feb 2, 2004 (19)",Newcastle,England,"1,71 m",Right Winger,Gestifute,,Apr-00,right,19,England U19,
Rasmus Højlund,/rasmus-hojlund/profil/spieler/610442,€45.00m,Manchester United,ENG,"Feb 4, 2003 (20)",København,Denmark,"1,91 m",Centre-Forward,SEG,Denmark,6-Jul,left,20,,
Anthony Martial,/anthony-martial/profil/spieler/182877,€15.00m,Manchester United,ENG,"Dec 5, 1995 (27)",Massy,France,"1,81 m",Centre-Forward,,,30 / 2,right,27,France,
Alisson,/alisson/profil/spieler/105470,€35.00m,Liverpool FC,ENG,"Oct 2, 1992 (30)",Novo Hamburgo,Brazil,"1,93 m",Goalkeeper,,Brazil,61 / 0,right,30,,
Caoimhín Kelleher,/caoimhin-kelleher/profil/spieler/340918,€12.00m,Liverpool FC,ENG,"Nov 23, 1998 (24)",Cork,Ireland,"1,88 m",Goalkeeper,CAA Stellar,Ireland,Oct-00,right,24,,
Adrián,/adrian/profil/spieler/71271,€800k,Liverpool FC,ENG,"Jan 3, 1987 (36)",Sevilla,Spain,"1,90 m",Goalkeeper,,,0 / 0,right,36,Spain,
Ibrahima Konaté,/ibrahima-konate/profil/spieler/357119,€38.00m,Liverpool FC,ENG,"May 25, 1999 (24)",Paris,France,"1,94 m",Centre-Back,CAA Stellar,,Nov-00,right,24,,France
Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208,€35.00m,Liverpool FC,ENG,"Jul 8, 1991 (32)",Breda,Netherlands,"1,93 m",Centre-Back,ROOF,Netherlands,58 / 6,right,32,,
Joe Gomez,/joe-gomez/profil/spieler/256178,€22.00m,Liverpool FC,ENG,"May 23, 1997 (26)",London,England,"1,88 m",Centre-Back,,,Nov-00,right,26,England,
Joel Matip,/joel-matip/profil/spieler/82105,€12.00m,Liverpool FC,ENG,"Aug 8, 1991 (32)",Bochum,Cameroon,"1,95 m",Centre-Back,,,27 / 1,right,32,Cameroon,
Andrew Robertson,/andrew-robertson/profil/spieler/234803,€40.00m,Liverpool FC,ENG,"Mar 11, 1994 (29)",Glasgow,Scotland,"1,78 m",Left-Back,,Scotland,62 / 3,left,29,,
Konstantinos Tsimikas,/konstantinos-tsimikas/profil/spieler/338070,€18.00m,Liverpool FC,ENG,"May 12, 1996 (27)",Thessaloniki,Greece,"1,79 m",Left-Back,,Greece,29 / 0,left,27,,
Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353,€65.00m,Liverpool FC,ENG,"Oct 7, 1998 (24)",Liverpool,England,"1,80 m",Right-Back,,England,20 / 2,right,24,,
Stefan Bajcetic,/stefan-bajcetic/profil/spieler/864799,€13.00m,Liverpool FC,ENG,"Oct 22, 2004 (18)",Vigo,Spain,"1,85 m",Defensive Midfield,,Spain U21,Jan-00,right,18,,
Wataru Endo,/wataru-endo/profil/spieler/146310,€6.50m,Liverpool FC,ENG,"Feb 9, 1993 (30)","Yokohama, Kanagawa",Japan,"1,78 m",Defensive Midfield,,Japan,51 / 2,right,30,,
Alexis Mac Allister,/alexis-mac-allister/profil/spieler/534033,€65.00m,Liverpool FC,ENG,"Dec 24, 1998 (24)",Santa Rosa,Argentina,"1,76 m",Central Midfield,,Argentina,18 / 1,right,24,,
Ryan Gravenberch,/ryan-gravenberch/profil/spieler/478573,€30.00m,Liverpool FC,ENG,"May 16, 2002 (21)",Amsterdam,Netherlands,"1,90 m",Central Midfield,Team Raiola,,1-Nov,right,21,,Netherlands
Curtis Jones,/curtis-jones/profil/spieler/433188,€25.00m,Liverpool FC,ENG,"Jan 30, 2001 (22)",Liverpool,England,"1,85 m",Central Midfield,,,20 / 5,right,22,,England U21
Thiago,/thiago/profil/spieler/60444,€15.00m,Liverpool FC,ENG,"Apr 11, 1991 (32)",San Pietro Vernotico,Spain,"1,74 m",Central Midfield,,,46 / 2,right,32,Spain,
Dominik Szoboszlai,/dominik-szoboszlai/profil/spieler/451276,€50.00m,Liverpool FC,ENG,"Oct 25, 2000 (22)",Székesfehérvár,Hungary,"1,87 m",Attacking Midfield,,Hungary,34 / 7,right,22,,
Harvey Elliott,/harvey-elliott/profil/spieler/565822,€35.00m,Liverpool FC,ENG,"Apr 4, 2003 (20)",London,England,"1,70 m",Attacking Midfield,ROOF,England U21,13 / 1,left,20,,
Luis Díaz,/luis-diaz/profil/spieler/480692,€75.00m,Liverpool FC,ENG,"Jan 13, 1997 (26)",Barrancas,Colombia,"1,80 m",Left Winger,,Colombia,40 / 9,right,26,,
Cody Gakpo,/cody-gakpo/profil/spieler/434675,€55.00m,Liverpool FC,ENG,"May 7, 1999 (24)",Eindhoven,Netherlands,"1,93 m",Left Winger,SEG,Netherlands,17 / 6,right,24,,
Diogo Jota,/diogo-jota/profil/spieler/340950,€50.00m,Liverpool FC,ENG,"Dec 4, 1996 (26)",Porto,Portugal,"1,78 m",Left Winger,Gestifute,Portugal,32 / 10,right,26,,
Mohamed Salah,/mohamed-salah/profil/spieler/148455,€65.00m,Liverpool FC,ENG,"Jun 15, 1992 (31)","Nagrig, Basyoun",Egypt,"1,75 m",Right Winger,,Egypt,88 / 49,left,31,,
Darwin Núñez,/darwin-nunez/profil/spieler/546543,€65.00m,Liverpool FC,ENG,"Jun 24, 1999 (24)",Artigas,Uruguay,"1,87 m",Centre-Forward,Gestifute,Uruguay,17 / 3,right,24,,
Guglielmo Vicario,/guglielmo-vicario/profil/spieler/286047,€16.00m,Tottenham Hotspur,ENG,"Oct 7, 1996 (26)",Udine,Italy,"1,94 m",Goalkeeper,GG11,Italy,0 / 0,right,26,,
Hugo Lloris,/hugo-lloris/profil/spieler/17965,€3.00m,Tottenham Hotspur,ENG,"Dec 26, 1986 (36)",Nice,France,"1,88 m",Goalkeeper,,,145 / 0,left,36,France,
Fraser Forster,/fraser-forster/profil/spieler/52570,€1.50m,Tottenham Hotspur,ENG,"Mar 17, 1988 (35)",Hexham,England,"2,01 m",Goalkeeper,CAA Stellar,,Jun-00,right,35,,England
