name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Mehdi Bourabia,/mehdi-bourabia/profil/spieler/131731,€1.30m,Frosinone Calcio,ITA,"Aug 7, 1991 (32)",Dijon,Morocco,"1,83 m",Defensive Midfield,,Aug-00,right,32,Morocco,,
Enzo Barrenechea,/enzo-barrenechea/profil/spieler/671915,€900k,Frosinone Calcio,ITA,"May 22, 2001 (22)",Villa María,Argentina,"1,86 m",Defensive Midfield,,,right,22,,,SP
Abdou Harroui,/abdou-harroui/profil/spieler/416386,€2.70m,Frosinone Calcio,ITA,"Jan 13, 1998 (25)",Leiden,Morocco,"1,82 m",Central Midfield,,0 / 0,na,25,Morocco,,
Marco Brescianini,/marco-brescianini/profil/spieler/459128,€900k,Frosinone Calcio,ITA,"Jan 20, 2000 (23)",Calcinate,Italy,"1,88 m",Central Midfield,,0 / 0,left,23,Italy U21,,
Karlo Lulic,/karlo-lulic/profil/spieler/240252,€750k,Frosinone Calcio,ITA,"May 10, 1996 (27)",Nova Gradiška,Croatia,"1,87 m",Central Midfield,,Jan-00,right,27,Croatia U21,,
Reinier,/reinier/profil/spieler/627226,€2.00m,Frosinone Calcio,ITA,"Jan 19, 2002 (21)",Brasília,Brazil,"1,85 m",Attacking Midfield,,2-Sep,right,21,Brazil U23,,
Luca Garritano,/luca-garritano/profil/spieler/205677,€1.70m,Frosinone Calcio,ITA,"Feb 11, 1994 (29)",Cosenza,Italy,"1,72 m",Attacking Midfield,,Dec-00,right,29,Italy U21,,
Francesco Gelli,/francesco-gelli/profil/spieler/337811,€400k,Frosinone Calcio,ITA,"Oct 15, 1996 (26)",Livorno,Italy,"1,73 m",Attacking Midfield,,,right,26,,,
Giuseppe Caso,/giuseppe-caso/profil/spieler/398030,€3.00m,Frosinone Calcio,ITA,"Dec 9, 1998 (24)",Torre Annunziata,Italy,"1,72 m",Left Winger,,,right,24,,,
Jaime Báez,/jaime-baez/profil/spieler/238654,€1.20m,Frosinone Calcio,ITA,"Apr 25, 1995 (28)",Montevideo,Uruguay,"1,78 m",Left Winger,,21 / 2,right,28,Uruguay U20,,
Arijon Ibrahimovic,/arijon-ibrahimovic/profil/spieler/744728,€1.00m,Frosinone Calcio,ITA,"Dec 11, 2005 (17)",Nürnberg,Germany,"1,76 m",Left Winger,Germany U19,0 / 0,right,17,,,
Giorgi Kvernadze,/giorgi-kvernadze/profil/spieler/412758,€500k,Frosinone Calcio,ITA,"Feb 7, 2003 (20)",Samtredia,Georgia,"1,88 m",Left Winger,Georgia U21,May-00,right,20,,,
Soufiane Bidaoui,/soufiane-bidaoui/profil/spieler/90118,€400k,Frosinone Calcio,ITA,"Apr 20, 1990 (33)",Etterbeek,Morocco,"1,68 m",Left Winger,,Apr-00,right,33,Morocco U23,,
Matías Soulé,/matias-soule/profil/spieler/668951,€4.00m,Frosinone Calcio,ITA,"Apr 15, 2003 (20)",Mar del Plata,Argentina,"1,82 m",Right Winger,Argentina U20,Feb-00,left,20,,,
Walid Cheddira,/walid-cheddira/profil/spieler/521407,€7.50m,Frosinone Calcio,ITA,"Jan 22, 1998 (25)",Loreto,Morocco,"1,87 m",Centre-Forward,Morocco,Jun-00,right,25,,,
Kaio Jorge,/kaio-jorge/profil/spieler/620477,€3.00m,Frosinone Calcio,ITA,"Jan 24, 2002 (21)",Olinda,Brazil,"1,82 m",Centre-Forward,,0 / 0,right,21,Brazil U20,,
Marvin Cuni,/marvin-cuni/profil/spieler/453864,€400k,Frosinone Calcio,ITA,"Jul 10, 2001 (22)",Freising,Germany,"1,88 m",Centre-Forward,,0 / 0,right,22,Albania U21,,
Simone Stampete,/simone-stampete/profil/spieler/860708,€50k,Frosinone Calcio,ITA,"Nov 28, 2002 (20)",,Italy,"1,80 m",Centre-Forward,,,left,20,,,
