name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Cristiano Biraghi,/cristiano-biraghi/profil/spieler/124555,€5.00m,ACF Fiorentina,ITA,"Sep 1, 1992 (31)",Cernusco sul ...,Italy,"1,85 m",Left-Back,Italy,13 / 1,left,31,,,
Dodô,/dodo/profil/spieler/401529,€20.00m,ACF Fiorentina,ITA,"Nov 17, 1998 (24)",Taubaté,Brazil,"1,66 m",Right-Back,,May-00,right,24,Brazil U23,,
Niccolò Pierozzi,/niccolo-pierozzi/profil/spieler/534084,€1.60m,ACF Fiorentina,ITA,"Sep 12, 2001 (21)",Firenze,Italy,"1,84 m",Right-Back,,Feb-00,right,21,,Italy U21,
Michael Kayode,/michael-kayode/profil/spieler/823486,€800k,ACF Fiorentina,ITA,"Jul 10, 2004 (19)",Borgomanero,Italy,"1,79 m",Right-Back,Italy U21,0 / 0,right,19,,,
Maxime López,/maxime-lopez/profil/spieler/290862,€15.00m,ACF Fiorentina,ITA,"Dec 4, 1997 (25)",Marseille,France,"1,67 m",Defensive Midfield,,13 / 0,right,25,France U21,,
Rolando Mandragora,/rolando-mandragora/profil/spieler/308279,€10.00m,ACF Fiorentina,ITA,"Jun 29, 1997 (26)",Napoli,Italy,"1,83 m",Defensive Midfield,,Jan-00,left,26,Italy,,
Lorenzo Amatucci,/lorenzo-amatucci/profil/spieler/707450,€700k,ACF Fiorentina,ITA,"Feb 5, 2004 (19)",Arezzo,Italy,"1,72 m",Defensive Midfield,,Nov-00,right,19,,Italy U19,
Arthur Melo,/arthur-melo/profil/spieler/362842,€15.00m,ACF Fiorentina,ITA,"Aug 12, 1996 (27)",Goiânia,Brazil,"1,72 m",Central Midfield,,22 / 1,right,27,Brazil,,
Gaetano Castrovilli,/gaetano-castrovilli/profil/spieler/303116,€10.00m,ACF Fiorentina,ITA,"Feb 17, 1997 (26)",Canosa di Puglia,Italy,"1,87 m",Central Midfield,,Apr-00,right,26,Italy,,
Alfred Duncan,/alfred-duncan/profil/spieler/184894,€4.00m,ACF Fiorentina,ITA,"Mar 10, 1993 (30)",Accra,Ghana,"1,78 m",Central Midfield,,Oct-00,left,30,Ghana,,
Gino Infantino,/gino-infantino/profil/spieler/831162,€3.00m,ACF Fiorentina,ITA,"May 19, 2003 (20)",Rosario,Argentina,"1,78 m",Central Midfield,Argentina U20,15 / 2,left,20,,,
Giacomo Bonaventura,/giacomo-bonaventura/profil/spieler/57280,€2.50m,ACF Fiorentina,ITA,"Aug 22, 1989 (34)",San Severino Marche,Italy,"1,80 m",Central Midfield,,14 / 0,right,34,Italy,,Team Raiola
Antonin Barak,/antonin-barak/profil/spieler/272261,€10.00m,ACF Fiorentina,ITA,"Dec 3, 1994 (28)",Příbram,Czech Republic,"1,90 m",Attacking Midfield,,37 / 8,left,28,,Czechia,
Riccardo Sottil,/riccardo-sottil/profil/spieler/386455,€8.00m,ACF Fiorentina,ITA,"Jun 3, 1999 (24)",Torino,Italy,"1,80 m",Left Winger,,3-Dec,right,24,Italy U21,,
Josip Brekalo,/josip-brekalo/profil/spieler/293169,€5.00m,ACF Fiorentina,ITA,"Jun 23, 1998 (25)",Zagreb,Croatia,"1,75 m",Left Winger,,33 / 4,right,25,Croatia,,
Nicolás González,/nicolas-gonzalez/profil/spieler/486031,€30.00m,ACF Fiorentina,ITA,"Apr 6, 1998 (25)",Belén de Escobar,Argentina,"1,80 m",Right Winger,Argentina,25 / 4,left,25,,,
Jonathan Ikoné,/jonathan-ikone/profil/spieler/324690,€16.00m,ACF Fiorentina,ITA,"May 2, 1998 (25)",Bondy,France,"1,75 m",Right Winger,,1-Apr,left,25,France,,
Lucas Beltrán,/lucas-beltran/profil/spieler/628366,€12.00m,ACF Fiorentina,ITA,"Mar 29, 2001 (22)",Córdoba,Argentina,"1,76 m",Centre-Forward,Argentina,0 / 0,right,22,,,
Christian Kouamé,/christian-kouame/profil/spieler/337725,€12.00m,ACF Fiorentina,ITA,"Dec 6, 1997 (25)",Abidjan,Cote d'Ivoire,"1,85 m",Centre-Forward,Ivory Coast,20 / 2,right,25,,,
M'Bala Nzola,/mbala-nzola/profil/spieler/354814,€8.00m,ACF Fiorentina,ITA,"Aug 18, 1996 (27)",Buco-Zau,Angola,"1,85 m",Centre-Forward,,2-Jun,left,27,,Angola,
Vanja Milinkovic-Savic,/vanja-milinkovic-savic/profil/spieler/257474,€3.50m,Torino FC,ITA,"Feb 20, 1997 (26)",Ourense,Serbia,"2,02 m",Goalkeeper,Serbia,15 / 0,right,26,,,
Mihai Popa,/mihai-popa/profil/spieler/623412,€1.00m,Torino FC,ITA,"Oct 12, 2000 (22)",Constanța,Romania,"1,90 m",Goalkeeper,,0 / 0,right,22,,Romania,
Luca Gemello,/luca-gemello/profil/spieler/463792,€300k,Torino FC,ITA,"Jul 3, 2000 (23)",Savigliano,Italy,"1,90 m",Goalkeeper,,0 / 0,right,23,Italy U20,,
Perr Schuurs,/perr-schuurs/profil/spieler/418543,€25.00m,Torino FC,ITA,"Nov 26, 1999 (23)",Nieuwstadt,Netherlands,"1,91 m",Centre-Back,,0 / 0,right,23,Netherlands,,
Alessandro Buongiorno,/alessandro-buongiorno/profil/spieler/386446,€10.00m,Torino FC,ITA,"Jun 6, 1999 (24)",Torino,Italy,"1,94 m",Centre-Back,,Jan-00,left,24,,Italy,
David Zima,/david-zima/profil/spieler/544149,€5.00m,Torino FC,ITA,"Nov 8, 2000 (22)",Olomouc,Czech Republic,"1,90 m",Centre-Back,Czechia,17 / 0,right,22,,,
Ricardo Rodríguez,/ricardo-rodriguez/profil/spieler/86784,€3.50m,Torino FC,ITA,"Aug 25, 1992 (31)",Zürich,Switzerland,"1,80 m",Centre-Back,Switzerland,108 / 9,left,31,,,
Saba Sazonov,/saba-sazonov/profil/spieler/655456,€3.00m,Torino FC,ITA,"Feb 1, 2002 (21)",St. Petersburg,Georgia,"1,94 m",Centre-Back,Georgia,Mar-00,right,21,,,
Koffi Djidji,/koffi-djidji/profil/spieler/183031,€3.00m,Torino FC,ITA,"Nov 30, 1992 (30)",Bagnolet,Cote d'Ivoire,"1,84 m",Centre-Back,,0 / 0,right,30,Ivory Coast,,
Ange Caumenan N'Guessan,/ange-caumenan-nguessan/profil/spieler/804799,€200k,Torino FC,ITA,"Sep 1, 2003 (20)",,France,"1,88 m",Centre-Back,,0 / 0,right,20,France U18,,
Mërgim Vojvoda,/mergim-vojvoda/profil/spieler/336125,€4.00m,Torino FC,ITA,"Feb 1, 1995 (28)",Hof (Saale),Kosovo,"1,87 m",Left-Back,Kosovo,48 / 2,right,28,,,
Brandon Soppy,/brandon-soppy/profil/spieler/546880,€9.00m,Torino FC,ITA,"Feb 21, 2002 (21)",Aubervilliers,France,"1,81 m",Right-Back,,Jan-00,right,21,France U20,,CAA Stellar
Raoul Bellanova,/raoul-bellanova/profil/spieler/357992,€5.00m,Torino FC,ITA,"May 17, 2000 (23)",Rho,Italy,"1,88 m",Right-Back,,20 / 0,right,23,,Italy U21,
Valentino Lazaro,/valentino-lazaro/profil/spieler/186368,€5.00m,Torino FC,ITA,"Mar 24, 1996 (27)",Graz,Austria,"1,80 m",Right-Back,,36 / 3,right,27,Austria,,Unique Sports Group
Samuele Ricci,/samuele-ricci/profil/spieler/467992,€20.00m,Torino FC,ITA,"Aug 21, 2001 (22)",Pontedera,Italy,"1,80 m",Defensive Midfield,,Feb-00,right,22,,Italy,
Adrien Tamèze,/adrien-tameze/profil/spieler/157507,€6.00m,Torino FC,ITA,"Feb 4, 1994 (29)",Lille,Cameroon,"1,80 m",Defensive Midfield,,0 / 0,right,29,Cameroon,,
Ivan Ilic,/ivan-ilic/profil/spieler/470794,€19.00m,Torino FC,ITA,"Mar 17, 2001 (22)",Niš,Serbia,"1,85 m",Central Midfield,Serbia,Dec-00,left,22,,,
Karol Linetty,/karol-linetty/profil/spieler/225873,€3.50m,Torino FC,ITA,"Feb 2, 1995 (28)",Żnin,Poland,"1,76 m",Central Midfield,Poland,46 / 5,right,28,,,
Gvidas Gineitis,/gvidas-gineitis/profil/spieler/798929,€900k,Torino FC,ITA,"Apr 15, 2004 (19)",Mazeikiai,Lithuania,"1,87 m",Central Midfield,Lithuania,Aug-00,left,19,,,
Nikola Vlasic,/nikola-vlasic/profil/spieler/293200,€17.00m,Torino FC,ITA,"Oct 4, 1997 (25)",Split,Croatia,"1,78 m",Attacking Midfield,Croatia,51 / 7,right,25,,,
Nemanja Radonjic,/nemanja-radonjic/profil/spieler/245078,€4.00m,Torino FC,ITA,"Feb 15, 1996 (27)",Nis,Serbia,"1,85 m",Left Winger,Serbia,41 / 5,na,27,,,
Yann Karamoh,/yann-karamoh/profil/spieler/324804,€3.50m,Torino FC,ITA,"Jul 8, 1998 (25)",Abidjan,Cote d'Ivoire,"1,85 m",Left Winger,,1-Apr,right,25,France U21,,
Demba Seck,/demba-seck/profil/spieler/551752,€2.70m,Torino FC,ITA,"Feb 10, 2001 (22)",Guédiawaye,Senegal,"1,90 m",Right Winger,,Jan-00,left,22,,Senegal,
Antonio Sanabria,/antonio-sanabria/profil/spieler/234523,€10.00m,Torino FC,ITA,"Mar 4, 1996 (27)",San Lorenzo,Paraguay,"1,81 m",Centre-Forward,,27 / 2,right,27,Paraguay,,GG11
Duván Zapata,/duvan-zapata/profil/spieler/73794,€8.00m,Torino FC,ITA,"Apr 1, 1991 (32)",Santiago de Cali,Colombia,"1,89 m",Centre-Forward,,34 / 4,right,32,Colombia,,
Pietro Pellegri,/pietro-pellegri/profil/spieler/364133,€3.50m,Torino FC,ITA,"Mar 17, 2001 (22)",Genova,Italy,"1,88 m",Centre-Forward,,3-Aug,right,22,,Italy U21,
Lukasz Skorupski,/lukasz-skorupski/profil/spieler/80894,€3.50m,Bologna FC 1909,ITA,"May 5, 1991 (32)",Zabrze,Poland,"1,88 m",Goalkeeper,,Aug-00,right,32,,Poland,GG11
Federico Ravaglia,/federico-ravaglia/profil/spieler/390304,€450k,Bologna FC 1909,ITA,"Nov 11, 1999 (23)",Bologna,Italy,"1,96 m",Goalkeeper,,,right,23,,,
Nicola Bagnolini,/nicola-bagnolini/profil/spieler/818892,€200k,Bologna FC 1909,ITA,"Mar 14, 2004 (19)",Cesena,Italy,"1,94 m",Goalkeeper,,Feb-00,right,19,,Italy U19,
Jhon Lucumí,/jhon-lucumi/profil/spieler/413565,€12.00m,Bologna FC 1909,ITA,"Jun 26, 1998 (25)",Cali,Colombia,"1,87 m",Centre-Back,Colombia,13 / 0,left,25,,,
Sam Beukema,/sam-beukema/profil/spieler/433984,€4.50m,Bologna FC 1909,ITA,"Nov 17, 1998 (24)",Deventer,Netherlands,"1,88 m",Centre-Back,,,right,24,,,
Adama Soumaoro,/adama-soumaoro/profil/spieler/126673,€3.00m,Bologna FC 1909,ITA,"Jun 18, 1992 (31)",Fontenay-aux-Roses,France,"1,87 m",Centre-Back,,,right,31,,,
Kevin Bonifazi,/kevin-bonifazi/profil/spieler/247377,€2.80m,Bologna FC 1909,ITA,"May 19, 1996 (27)",Rieti,Italy,"1,87 m",Centre-Back,,Jul-00,right,27,Italy U21,,
Victor Kristiansen,/victor-kristiansen/profil/spieler/564529,€12.00m,Bologna FC 1909,ITA,"Dec 16, 2002 (20)",Copenhagen,Denmark,"1,81 m",Left-Back,Denmark,Jan-00,left,20,,,
Riccardo Calafiori,/riccardo-calafiori/profil/spieler/502821,€4.50m,Bologna FC 1909,ITA,"May 19, 2002 (21)",Roma,Italy,"1,88 m",Left-Back,,Feb-00,left,21,,Italy U21,
Charalampos Lykogiannis,/charalampos-lykogiannis/profil/spieler/136514,€1.00m,Bologna FC 1909,ITA,"Oct 22, 1993 (29)",Piräus,Greece,"1,91 m",Left-Back,,Jun-00,left,29,Greece,,
Tommaso Corazza,/tommaso-corazza/profil/spieler/818880,€100k,Bologna FC 1909,ITA,"Jun 29, 2004 (19)",Bologna,Italy,"1,74 m",Left-Back,,,right,19,,,
Stefan Posch,/stefan-posch/profil/spieler/223974,€14.00m,Bologna FC 1909,ITA,"May 14, 1997 (26)",Judenburg,Austria,"1,90 m",Right-Back,Austria,24 / 1,right,26,,,ROGON
Lorenzo De Silvestri,/lorenzo-de-silvestri/profil/spieler/33571,€400k,Bologna FC 1909,ITA,"May 23, 1988 (35)",Roma,Italy,"1,87 m",Right-Back,,Jun-00,right,35,Italy,,
Nikola Moro,/nikola-moro/profil/spieler/316934,€6.50m,Bologna FC 1909,ITA,"Mar 12, 1998 (25)",Split,Croatia,"1,84 m",Defensive Midfield,,Jan-00,right,25,Croatia,,VPA Sports
Oussama El Azzouzi,/oussama-el-azzouzi/profil/spieler/531065,€800k,Bologna FC 1909,ITA,"May 29, 2001 (22)",Veenendaal,Morocco,"1,89 m",Defensive Midfield,Morocco U23,Jun-00,right,22,,,
Kacper Urbanski,/kacper-urbanski/profil/spieler/699442,€600k,Bologna FC 1909,ITA,"Sep 7, 2004 (19)",Gdańsk,Poland,"1,78 m",Defensive Midfield,Poland U21,0 / 0,right,19,,,
Lewis Ferguson,/lewis-ferguson/profil/spieler/428563,€12.00m,Bologna FC 1909,ITA,"Aug 24, 1999 (24)",Hamilton,Scotland,"1,81 m",Central Midfield,Scotland,May-00,right,24,,,
Remo Freuler,/remo-freuler/profil/spieler/148252,€8.00m,Bologna FC 1909,ITA,"Apr 15, 1992 (31)",Ennenda,Switzerland,"1,80 m",Central Midfield,Switzerland,57 / 7,right,31,,,
Giovanni Fabbian,/giovanni-fabbian/profil/spieler/633668,€6.00m,Bologna FC 1909,ITA,"Jan 14, 2003 (20)",Camposampiero,Italy,"1,86 m",Central Midfield,Italy U21,Jan-00,right,20,,,
Michel Aebischer,/michel-aebischer/profil/spieler/237658,€4.00m,Bologna FC 1909,ITA,"Jan 6, 1997 (26)",Fribourg,Switzerland,"1,83 m",Central Midfield,Switzerland,13 / 0,right,26,,,
Jesper Karlsson,/jesper-karlsson/profil/spieler/367992,€18.00m,Bologna FC 1909,ITA,"Jul 25, 1998 (25)",Falkenberg,Sweden,"1,79 m",Left Winger,Sweden,3-Dec,right,25,,,
Alexis Saelemaekers,/alexis-saelemaekers/profil/spieler/381950,€15.00m,Bologna FC 1909,ITA,"Jun 27, 1999 (24)",Berchem-Sainte-Agath...,Belgium,"1,80 m",Right Winger,,1-Nov,right,24,,Belgium,
Riccardo Orsolini,/riccardo-orsolini/profil/spieler/368482,€12.00m,Bologna FC 1909,ITA,"Jan 24, 1997 (26)",Ascoli Piceno,Italy,"1,83 m",Right Winger,Italy,2-Feb,left,26,,,
Dan Ndoye,/dan-ndoye/profil/spieler/365108,€3.50m,Bologna FC 1909,ITA,"Oct 25, 2000 (22)",Nyon,Switzerland,"1,84 m",Right Winger,Switzerland,Jan-00,right,22,,,
Joshua Zirkzee,/joshua-zirkzee/profil/spieler/435648,€9.00m,Bologna FC 1909,ITA,"May 22, 2001 (22)",Schiedam,Netherlands,"1,93 m",Centre-Forward,,19 / 7,right,22,,Netherlands U21,
Sydney van Hooijdonk,/sydney-van-hooijdonk/profil/spieler/439292,€6.00m,Bologna FC 1909,ITA,"Feb 6, 2000 (23)",Breda,Netherlands,"1,90 m",Centre-Forward,,Feb-00,right,23,,Netherlands U21,
Alessio Cragno,/alessio-cragno/profil/spieler/12907,€3.00m,US Sassuolo,ITA,"Jun 28, 1994 (29)",Fiesole,Italy,"1,84 m",Goalkeeper,,Feb-00,right,29,Italy,,
Andrea Consigli,/andrea-consigli/profil/spieler/35865,€1.00m,US Sassuolo,ITA,"Jan 27, 1987 (36)",Milano,Italy,"1,89 m",Goalkeeper,,0 / 0,right,36,Italy,,
Gianluca Pegolo,/gianluca-pegolo/profil/spieler/21872,€100k,US Sassuolo,ITA,"Mar 25, 1981 (42)",Bassano del Grappa,Italy,"1,83 m",Goalkeeper,,Mar-00,left,42,Italy U21,,
Mattia Viti,/mattia-viti/profil/spieler/493702,€7.00m,US Sassuolo,ITA,"Jan 24, 2002 (21)",Borgo San Lorenzo,Italy,"1,90 m",Centre-Back,,Jun-00,left,21,,Italy U21,
Martin Erlic,/martin-erlic/profil/spieler/357003,€5.00m,US Sassuolo,ITA,"Jan 24, 1998 (25)",Zadar,Croatia,"1,93 m",Centre-Back,Croatia,Jun-00,right,25,,,
Ruan Tressoldi,/ruan-tressoldi/profil/spieler/555015,€4.50m,US Sassuolo,ITA,"Jun 7, 1999 (24)",Tramandaí,Brazil,"1,87 m",Centre-Back,,,right,24,,,
Gian Marco Ferrari,/gian-marco-ferrari/profil/spieler/277167,€2.00m,US Sassuolo,ITA,"May 15, 1992 (31)",Parma,Italy,"1,89 m",Centre-Back,,1-Jan,left,31,Italy,,
Matías Viña,/matias-vina/profil/spieler/439072,€8.00m,US Sassuolo,ITA,"Nov 9, 1997 (25)",Empalme Olmos,Uruguay,"1,80 m",Left-Back,Uruguay,31 / 0,left,25,,,
Marcus Pedersen,/marcus-pedersen/profil/spieler/583404,€7.00m,US Sassuolo,ITA,"Jul 16, 2000 (23)",Hammerfest,Norway,"1,84 m",Right-Back,Norway,19 / 0,right,23,,,Team Raiola
Jeremy Toljan,/jeremy-toljan/profil/spieler/129674,€4.50m,US Sassuolo,ITA,"Aug 8, 1994 (29)",Stuttgart,Germany,"1,82 m",Right-Back,,18 / 1,right,29,Germany U21,,
Filippo Missori,/filippo-missori/profil/spieler/650993,€800k,US Sassuolo,ITA,"Mar 24, 2004 (19)",Roma,Italy,"1,82 m",Right-Back,,13 / 1,right,19,,Italy U19,
Luca Lipani,/luca-lipani/profil/spieler/724106,€400k,US Sassuolo,ITA,"May 18, 2005 (18)",Genova,Italy,"1,85 m",Defensive Midfield,Italy U20,Apr-00,right,18,,,
Matheus Henrique,/matheus-henrique/profil/spieler/552549,€10.00m,US Sassuolo,ITA,"Dec 19, 1997 (25)",São Paulo,Brazil,"1,75 m",Central Midfield,,Jan-00,right,25,Brazil,,
Uros Racic,/uros-racic/profil/spieler/417575,€6.50m,US Sassuolo,ITA,"Mar 17, 1998 (25)",Kraljevo,Serbia,"1,93 m",Central Midfield,Serbia,Dec-00,na,25,,,
Daniel Boloca,/daniel-boloca/profil/spieler/441515,€3.50m,US Sassuolo,ITA,"Dec 22, 1998 (24)",Chieri,Romania,"1,85 m",Central Midfield,,Jan-00,right,24,,Romania,
Pedro Obiang,/pedro-obiang/profil/spieler/101213,€800k,US Sassuolo,ITA,"Mar 27, 1992 (31)",Alcalá de Henares,Equatorial Guinea,"1,86 m",Central Midfield,,14 / 3,right,31,,Equat. Guinea,
Nedim Bajrami,/nedim-bajrami/profil/spieler/390177,€7.50m,US Sassuolo,ITA,"Feb 28, 1999 (24)",Zürich,Albania,"1,79 m",Attacking Midfield,Albania,15 / 3,right,24,,,
Kristian Thorstvedt,/kristian-thorstvedt/profil/spieler/564785,€7.50m,US Sassuolo,ITA,"Mar 13, 1999 (24)",Stavanger,Norway,"1,89 m",Attacking Midfield,,21 / 4,left,24,,Norway,
Cristian Volpato,/cristian-volpato/profil/spieler/746891,€3.00m,US Sassuolo,ITA,"Nov 15, 2003 (19)",Camperdown,Italy,"1,87 m",Attacking Midfield,,Jan-00,left,19,,Italy U21,
Armand Laurienté,/armand-lauriente/profil/spieler/579930,€18.00m,US Sassuolo,ITA,"Dec 4, 1998 (24)",Gonesse,France,"1,71 m",Left Winger,,Feb-00,right,24,France U21,,
Emil Konradsen Ceide,/emil-konradsen-ceide/profil/spieler/508371,€2.50m,US Sassuolo,ITA,"Sep 3, 2001 (22)",Finnsnes,Norway,"1,75 m",Left Winger,,14 / 5,right,22,,Norway U21,
Domenico Berardi,/domenico-berardi/profil/spieler/177843,€18.00m,US Sassuolo,ITA,"Aug 1, 1994 (29)",Cariati,Italy,"1,83 m",Right Winger,,25 / 6,left,29,,Italy,
Samu Castillejo,/samu-castillejo/profil/spieler/195171,€6.00m,US Sassuolo,ITA,"Jan 18, 1995 (28)",Málaga,Spain,"1,82 m",Right Winger,,Apr-00,left,28,Spain U21,,CAA Stellar
Andrea Pinamonti,/andrea-pinamonti/profil/spieler/315865,€15.00m,US Sassuolo,ITA,"May 19, 1999 (24)",Cles,Italy,"1,85 m",Centre-Forward,,Jan-00,right,24,,Italy,Team Raiola
Agustín Álvarez,/agustin-alvarez/profil/spieler/812625,€8.00m,US Sassuolo,ITA,"May 19, 2001 (22)",San Bautista,Uruguay,"1,77 m",Centre-Forward,,1-Apr,right,22,Uruguay,,
Samuele Mulattieri,/samuele-mulattieri/profil/spieler/457422,€4.50m,US Sassuolo,ITA,"Oct 7, 2000 (22)",La Spezia,Italy,"1,83 m",Centre-Forward,,3-May,right,22,,Italy U21,
Grégoire Defrel,/gregoire-defrel/profil/spieler/163222,€1.50m,US Sassuolo,ITA,"Jun 17, 1991 (32)",Meudon,France,"1,79 m",Centre-Forward,,0 / 0,left,32,Martinique,,
Marco Silvestri,/marco-silvestri/profil/spieler/85528,€5.00m,Udinese Calcio,ITA,"Mar 2, 1991 (32)",Castelnovo né Monti,Italy,"1,91 m",Goalkeeper,,0 / 0,right,32,Italy,,Team Raiola
Maduka Okoye,/maduka-okoye/profil/spieler/340353,€2.00m,Udinese Calcio,ITA,"Aug 28, 1999 (24)",Düsseldorf,Nigeria,"1,97 m",Goalkeeper,,16 / 0,right,24,,Nigeria,
Daniele Padelli,/daniele-padelli/profil/spieler/27807,€200k,Udinese Calcio,ITA,"Oct 25, 1985 (37)",Lecco,Italy,"1,91 m",Goalkeeper,,0 / 0,right,37,Italy,,
Nehuén Pérez,/nehuen-perez/profil/spieler/491693,€10.00m,Udinese Calcio,ITA,"Jun 24, 2000 (23)",Hurlingham,Argentina,"1,84 m",Centre-Back,,Jan-00,right,23,,Argentina,Universal Twenty Two
Jaka Bijol,/jaka-bijol/profil/spieler/371851,€10.00m,Udinese Calcio,ITA,"Feb 5, 1999 (24)",Vuzenica,Slovenia,"1,90 m",Centre-Back,Slovenia,40 / 1,right,24,,,
Enzo Ebosse,/enzo-ebosse/profil/spieler/342877,€4.50m,Udinese Calcio,ITA,"Mar 11, 1999 (24)",Amiens,Cameroon,"1,85 m",Centre-Back,,Mar-00,left,24,,Cameroon,
Adam Masina,/adam-masina/profil/spieler/286949,€2.50m,Udinese Calcio,ITA,"Jan 2, 1994 (29)",Khouribga,Morocco,"1,91 m",Centre-Back,,16 / 0,left,29,Morocco,,
Christian Kabasele,/christian-kabasele/profil/spieler/81512,€1.00m,Udinese Calcio,ITA,"Feb 24, 1991 (32)",Lubumbashi,Belgium,"1,87 m",Centre-Back,,Feb-00,right,32,Belgium,,
Thomas Kristensen,/thomas-kristensen/profil/spieler/698259,€700k,Udinese Calcio,ITA,"Jan 17, 2002 (21)",Aarhus,Denmark,"1,98 m",Centre-Back,,Apr-00,right,21,,Denmark U21,
Axel Guessand,/axel-guessand/profil/spieler/925584,€250k,Udinese Calcio,ITA,"Nov 6, 2004 (18)",Schiltigheim,France,"1,84 m",Centre-Back,,Feb-00,left,18,France U18,,CAA Stellar
Antonio Tikvic,/antonio-tikvic/profil/spieler/797791,€150k,Udinese Calcio,ITA,"Apr 21, 2004 (19)",Hamburg,Croatia,"1,95 m",Centre-Back,Croatia U21,0 / 0,left,19,,,
Hassane Kamara,/hassane-kamara/profil/spieler/290017,€8.00m,Udinese Calcio,ITA,"Mar 5, 1994 (29)",Saint-Denis,Cote d'Ivoire,"1,70 m",Left-Back,,Jul-00,left,29,Ivory Coast,,
Jordan Zemura,/jordan-zemura/profil/spieler/633530,€6.00m,Udinese Calcio,ITA,"Nov 14, 1999 (23)",London,Zimbabwe,"1,73 m",Left-Back,Zimbabwe,Jun-00,left,23,,,
Festy Ebosele,/festy-ebosele/profil/spieler/586756,€3.50m,Udinese Calcio,ITA,"Aug 2, 2002 (21)","Enniscorthy, Wexford",Ireland,"1,80 m",Right-Back,Ireland,0 / 0,right,21,,,
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,€2.50m,Udinese Calcio,ITA,"May 25, 1995 (28)",München,Netherlands,"1,89 m",Right-Back,,Jan-00,right,28,Netherlands U21,,
João Ferreira,/joao-ferreira/profil/spieler/481623,€400k,Udinese Calcio,ITA,"Mar 22, 2001 (22)",Vila do Conde,Portugal,"1,85 m",Right-Back,,0 / 0,right,22,Portugal U20,,MRP.POSITIONUMBER
Walace,/walace/profil/spieler/323954,€7.00m,Udinese Calcio,ITA,"Apr 4, 1995 (28)",Salvador,Brazil,"1,88 m",Defensive Midfield,,May-00,right,28,Brazil,,
Etienne Camara,/etienne-camara/profil/spieler/854325,€500k,Udinese Calcio,ITA,"Mar 30, 2003 (20)",Noisy-le-Grand,France,"1,91 m",Defensive Midfield,,Jan-00,left,20,,France U20,Classico
Lazar Samardzic,/lazar-samardzic/profil/spieler/528833,€14.00m,Udinese Calcio,ITA,"Feb 24, 2002 (21)",Berlin,Serbia,"1,84 m",Central Midfield,Serbia,Mar-00,left,21,,,
Sandi Lovrić,/sandi-lovri%C4%87/profil/spieler/268429,€10.00m,Udinese Calcio,ITA,"Mar 28, 1998 (25)",Lienz,Slovenia,"1,80 m",Central Midfield,Slovenia,29 / 3,right,25,,,Universal Twenty Two
Martín Payero,/martin-payero/profil/spieler/555820,€3.50m,Udinese Calcio,ITA,"Sep 11, 1998 (25)",Pascanas,Argentina,"1,82 m",Central Midfield,,Feb-00,right,25,Argentina U23,,Hernan Berman
Oier Zarraga,/oier-zarraga/profil/spieler/524010,€3.00m,Udinese Calcio,ITA,"Jan 4, 1999 (24)",Getxo,Spain,"1,75 m",Central Midfield,,,right,24,,,
Domingos Quina,/domingos-quina/profil/spieler/391719,€1.80m,Udinese Calcio,ITA,"Nov 18, 1999 (23)",Bissau,Portugal,"1,73 m",Central Midfield,,Mar-00,right,23,Portugal U21,,
Marco Ballarini,/marco-ballarini/profil/spieler/465279,€125k,Udinese Calcio,ITA,"Mar 28, 2001 (22)",Gorizia,Italy,"1,86 m",Central Midfield,,,right,22,,,
Simone Pafundi,/simone-pafundi/profil/spieler/876400,€8.00m,Udinese Calcio,ITA,"Mar 14, 2006 (17)",Monfalcone,Italy,"1,66 m",Attacking Midfield,Italy U20,1-May,left,17,,,
David Pejičić,/david-peji%C4%8Di%C4%87/profil/spieler/1009633,€500k,Udinese Calcio,ITA,"Jun 14, 2007 (16)",,Slovenia,,Attacking Midfield,,1-Aug,right,16,,Slovenia U17,
Marley Aké,/marley-ake/profil/spieler/682032,€1.80m,Udinese Calcio,ITA,"Jan 5, 2001 (22)",Béziers,France,"1,77 m",Left Winger,,Jan-00,right,22,France U19,,
Florian Thauvin,/florian-thauvin/profil/spieler/184892,€3.50m,Udinese Calcio,ITA,"Jan 26, 1993 (30)",Orléans,France,"1,81 m",Right Winger,,1-Oct,left,30,France,,
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,€10.00m,Udinese Calcio,ITA,"Mar 13, 1994 (29)",Riudarenes,Spain,"1,77 m",Centre-Forward,,1-Apr,right,29,Spain,,
Brenner,/brenner/profil/spieler/412366,€8.00m,Udinese Calcio,ITA,"Jan 16, 2000 (23)",Cuiabá,Brazil,"1,75 m",Centre-Forward,,0 / 0,right,23,Brazil U20,,
Lorenzo Lucca,/lorenzo-lucca/profil/spieler/572265,€5.00m,Udinese Calcio,ITA,"Sep 10, 2000 (23)",Moncalieri,Italy,"2,01 m",Centre-Forward,,2-Jun,right,23,,Italy U21,
Isaac Success,/isaac-success/profil/spieler/295331,€4.00m,Udinese Calcio,ITA,"Jan 7, 1996 (27)",Benin City,Nigeria,"1,82 m",Centre-Forward,,Apr-00,right,27,Nigeria,,11MANGMT
